"ensemble","aw0_mean","aw0_sdev","a2DI_mean","a2DI_sdev","alfs","a2dm_mean","a2dm_sdev"
"l1648f211b580m013m065m838",0.8804,0.0003,0.3678,0.0441,0.58801,0.0439,0.0041
"l2448f211b580m0064m0640m828",0.8804,0.0003,0.3678,0.0441,0.58801,0.0439,0.0041
"l3248f211b580m00235m0647m831",0.8804,0.0003,0.3678,0.0441,0.58801,0.0439,0.0041
"l2464f211b600m0170m0509m635",0.7036,0.0005,0.2068,0.0172,0.53796,0.0250,0.0020
"l2464f211b600m0130m0509m635",0.7036,0.0005,0.2068,0.0172,0.53796,0.0250,0.0020
"l2464f211b600m0102m0509m635",0.7036,0.0005,0.2068,0.0172,0.53796,0.0250,0.0020
"l2464f211b600m00507m0507m628",0.7036,0.0005,0.2068,0.0172,0.53796,0.0250,0.0020
"l3264f211b600m00507m0507m628",0.7036,0.0005,0.2068,0.0172,0.53796,0.0250,0.0020
"l4064f211b600m00507m0507m628",0.7036,0.0005,0.2068,0.0172,0.53796,0.0250,0.0020
"l4864f211b600m00184m0507m628",0.7036,0.0005,0.2068,0.0172,0.53796,0.0250,0.0020
"l3296f211b630m0074m037m440",0.5105,0.0003,0.0631,0.0051,0.43356,0.0102,0.0009
"l4896f211b630m00363m0363m430",0.5105,0.0003,0.0631,0.0051,0.43356,0.0102,0.0009
