A  number of results for mpi L=2, theta and Bessel
AbVacc maxsum AbVt AbVb A22bVt A22bVb A23bVt A23bVb
0.1 1 -0.000362696 -0.000193705 4.61348e-06 3.2025e-06 -8.35406e-06 -5.44676e-06
0.01 2 -0.000362696 -0.00029042 4.61348e-06 4.17815e-06 -8.35406e-06 -7.33517e-06
0.001 5 -0.000362601 -0.000341885 4.60944e-06 4.52228e-06 -8.34887e-06 -8.10665e-06
0.0001 10 -0.000362609 -0.000358793 4.60949e-06 4.59818e-06 -8.34883e-06 -8.31058e-06
1e-05 20 -0.000362608 -0.000362256 4.60949e-06 4.60875e-06 -8.34883e-06 -8.3457e-06
1e-06 40 -0.000362608 -0.000362597 4.60949e-06 4.60947e-06 -8.34883e-06 -8.34874e-06
1e-07 60 -0.000362608 -0.000362608 4.60949e-06 4.60949e-06 -8.34883e-06 -8.34883e-06
1e-08 100 -0.000362608 -0.000362608 4.60949e-06 4.60949e-06 -8.34883e-06 -8.34883e-06
AbVacc maxsum BbVt BbVb B22bVt B22bVb B23bVt B23bVb
0.1 1 0.0230424 0.0086549 -0.000181348 -9.68525e-05 0.000260942 0.000117147
0.01 2 0.0230424 0.0150977 -0.000181348 -0.00014521 0.000260942 0.000188525
0.001 5 0.0230312 0.0200203 -0.000181301 -0.000170942 0.000260786 0.000235585
0.0001 10 0.0230317 0.022287 -0.000181304 -0.000179396 0.000260787 0.000254991
1e-05 20 0.0230317 0.0229389 -0.000181304 -0.000181128 0.000260787 0.000260106
1e-06 40 0.0230317 0.0230274 -0.000181304 -0.000181298 0.000260787 0.000260757
1e-07 60 0.0230317 0.0230314 -0.000181304 -0.000181304 0.000260787 0.000260785
1e-08 100 0.0230317 0.0230317 -0.000181304 -0.000181304 0.000260787 0.000260787
AbVacc maxsum CbVt CbVb C22bVt C22bVb C23bVt C23bVb
0.1 1 -1.15047 -0.291592 0.0057606 0.00216372 -0.00698357 -0.00177142
0.01 2 -1.14919 -0.582771 0.0057606 0.00377442 -0.00698357 -0.00354033
0.001 5 -1.14903 -0.882676 0.0057578 0.00500508 -0.0069802 -0.00536226
0.0001 10 -1.14903 -1.06512 0.00575791 0.00557175 -0.00698031 -0.00647063
1e-05 20 -1.14903 -1.13543 0.00575792 0.00573472 -0.00698035 -0.00689776
1e-06 40 -1.14903 -1.1482 0.00575792 0.00575686 -0.00698035 -0.00697534
1e-07 60 -1.14903 -1.14896 0.00575792 0.00575784 -0.00698035 -0.0069799
1e-08 100 -1.14903 -1.14903 0.00575792 0.00575792 -0.00698035 -0.00698034
AbVacc maxsum DbVt DbVb D22bVt D22bVb D23bVt D23bVb
0.1 1 55.6907 9.67605 -0.191745 -0.0485987 0.211151 0.0263829
0.01 2 55.7232 21.4674 -0.191531 -0.0971284 0.210933 0.0656621
0.001 5 55.7232 36.8018 -0.191505 -0.147113 0.210907 0.125496
0.0001 10 55.7328 48.4844 -0.191505 -0.177521 0.210907 0.176196
1e-05 20 55.7328 54.2597 -0.191505 -0.189239 0.210907 0.203469
1e-06 40 55.7328 55.6173 -0.191505 -0.191367 0.210907 0.210297
1e-07 60 55.7328 55.7205 -0.191505 -0.191493 0.210907 0.210841
1e-08 100 55.7328 55.7325 -0.191505 -0.191505 0.210907 0.210905
checking the relation 4*A22bV+3*A23bV=msq*AbV
-6.60854e-06 -6.60854e-06
-6.60854e-06 -6.60854e-06
checking the relation 4*B22bV+3*B23bV=AbV+msq*BbV
5.71439e-05 5.71439e-05
5.71438e-05 5.71438e-05
checking the relation 4*C22bV+3*C23bV=BbV+msq*CbV
0.00209062 0.00209062
0.00209065 0.00209065
checking the relation 4*D22bV+3*D23bV=CbV+msq*DbV
-0.133299 -0.133299
-0.133303 -0.133303
checking B22bV=1/2 AbV
-0.000181304 -0.000181304
checking C22bV=1/4 BbV
0.00575792 0.00575792
checking D22bV=1/6 AbV
-0.191505 -0.191505
checking B23bV=1/3 (m^2 BbV-AbV)
0.000260787 0.000260787
checking C23bV=1/3 (m^2 CbV)
-0.00698035 -0.00698035
checking D23bV=1/3 (m^2 DbV+1/3 CbV)
0.210907 0.210907
