A  number of results for mpi L=3, theta and Bessel
standard cases
eps_Theta sumBessel  hhVt      hhVb        hh1Vt          hh1Vb
     0.1   1   6.83368e-08    8.0166e-08  -3.32463e-09  -2.76618e-09 
    0.01   2   6.70818e-08   7.07235e-08  -3.52239e-09  -3.37849e-09 
   0.001   5   6.71214e-08   6.76933e-08  -3.52422e-09  -3.50937e-09 
  0.0001  10   6.71556e-08   6.71953e-08    -3.525e-09  -3.52419e-09 
   1e-05  20   6.71557e-08   6.71567e-08    -3.525e-09  -3.52498e-09 
   1e-06  40   6.71557e-08   6.71557e-08    -3.525e-09    -3.525e-09 
eps_Theta sumBessel  hh21Vt    hh21Vb       hh22Vt         hh22Vb
     0.1   1   -6.1412e-11   -6.2701e-11  -5.79195e-10  -6.26236e-10 
    0.01   2  -6.99694e-11  -6.90049e-11  -5.57098e-10  -5.70663e-10 
   0.001   5  -7.00353e-11  -6.99926e-11  -5.56654e-10  -5.58155e-10 
  0.0001  10  -7.00613e-11  -7.00578e-11  -5.56667e-10  -5.56744e-10 
   1e-05  20   -7.0063e-11   -7.0063e-11  -5.56667e-10  -5.56668e-10 
   1e-06  40   -7.0063e-11   -7.0063e-11  -5.56667e-10  -5.56667e-10 
eps_Theta sumBessel  hh27Vt    hh27Vb       hhdVt         hhdVb
     0.1   1   1.13951e-09   1.30241e-09  -1.86107e-07  -1.46266e-07 
    0.01   2   1.13209e-09   1.17101e-09  -2.13541e-07  -1.95285e-07 
   0.001   5   1.13125e-09   1.13599e-09   -2.1381e-07  -2.11015e-07 
  0.0001  10   1.13074e-09   1.13109e-09  -2.13814e-07  -2.13606e-07 
   1e-05  20   1.13075e-09   1.13075e-09  -2.13814e-07  -2.13808e-07 
   1e-06  40   1.13075e-09   1.13075e-09  -2.13814e-07  -2.13814e-07 
eps_Theta sumBessel  hh1dVt    hh1dVb       hh21dVt       hh212Vb
     0.1   1  -2.75394e-09   -2.0978e-09  -1.46984e-10   -1.3446e-10 
    0.01   2  -2.68419e-09  -2.57559e-09    -1.485e-10  -1.46071e-10 
   0.001   5  -2.68541e-09  -2.67409e-09  -1.48564e-10  -1.48343e-10 
  0.0001  10  -2.68586e-09  -2.68529e-09  -1.48566e-10  -1.48563e-10 
   1e-05  20   -2.6859e-09  -2.68589e-09  -1.48566e-10  -1.48566e-10 
   1e-06  40   -2.6859e-09   -2.6859e-09  -1.48566e-10  -1.48566e-10 
eps_Theta sumBessel  hh22dVt   hh22dVb      hh27dVt       hhd27Vb
     0.1   1   1.63011e-09   1.35108e-09  -3.39694e-09  -2.67907e-09 
    0.01   2   1.72777e-09    1.6548e-09  -3.46398e-09  -3.35768e-09 
   0.001   5   1.72713e-09    1.7197e-09  -3.56663e-09  -3.53969e-09 
  0.0001  10   1.72746e-09   1.72705e-09  -3.56702e-09   -3.5652e-09 
   1e-05  20   1.72747e-09   1.72746e-09  -3.56701e-09  -3.56697e-09 
   1e-06  40   1.72747e-09   1.72747e-09  -3.56701e-09  -3.56701e-09 
############################################################
cases with different propagators
case propagator = 1
eps_Theta sumBessel  hhVt      hhVb        hh1Vt          hh1Vb
     0.1   1   6.83368e-08    8.0166e-08  -3.32463e-09  -2.76618e-09 
    0.01   2   6.70818e-08   7.07235e-08  -3.52239e-09  -3.37849e-09 
   0.001   5   6.71214e-08   6.76933e-08  -3.52422e-09  -3.50937e-09 
  0.0001  10   6.71556e-08   6.71953e-08    -3.525e-09  -3.52419e-09 
   1e-05  20   6.71557e-08   6.71567e-08    -3.525e-09  -3.52498e-09 
   1e-06  40   6.71557e-08   6.71557e-08    -3.525e-09    -3.525e-09 
eps_Theta sumBessel  hh21Vt    hh21Vb       hh22Vt         hh22Vb
     0.1   1   -6.1412e-11   -6.2701e-11  -5.79195e-10  -6.26236e-10 
    0.01   2  -6.99694e-11  -6.90049e-11  -5.57098e-10  -5.70663e-10 
   0.001   5  -7.00353e-11  -6.99926e-11  -5.56654e-10  -5.58155e-10 
  0.0001  10  -7.00613e-11  -7.00578e-11  -5.56667e-10  -5.56744e-10 
   1e-05  20   -7.0063e-11   -7.0063e-11  -5.56667e-10  -5.56668e-10 
   1e-06  40   -7.0063e-11   -7.0063e-11  -5.56667e-10  -5.56667e-10 
eps_Theta sumBessel  hh27Vt    hh27Vb       hhdVt         hhdVb
     0.1   1   1.13951e-09   1.30241e-09  -1.86107e-07  -1.46266e-07 
    0.01   2   1.13209e-09   1.17101e-09  -2.13541e-07  -1.95285e-07 
   0.001   5   1.13125e-09   1.13599e-09   -2.1381e-07  -2.11015e-07 
  0.0001  10   1.13074e-09   1.13109e-09  -2.13814e-07  -2.13606e-07 
   1e-05  20   1.13075e-09   1.13075e-09  -2.13814e-07  -2.13808e-07 
   1e-06  40   1.13075e-09   1.13075e-09  -2.13814e-07  -2.13814e-07 
eps_Theta sumBessel  hh1dVt    hh1dVb       hh21dVt       hh212Vb
     0.1   1  -3.32463e-09  -2.76618e-09  -1.46984e-10   -1.3446e-10 
    0.01   2  -3.52239e-09  -3.37849e-09    -1.485e-10  -1.46071e-10 
   0.001   5  -3.52422e-09  -3.50937e-09  -1.48564e-10  -1.48343e-10 
  0.0001  10    -3.525e-09  -3.52419e-09  -1.48566e-10  -1.48563e-10 
   1e-05  20    -3.525e-09  -3.52498e-09  -1.48566e-10  -1.48566e-10 
   1e-06  40    -3.525e-09    -3.525e-09  -1.48566e-10  -1.48566e-10 
eps_Theta sumBessel  hh22dVt   hh22dVb      hh27dVt       hhd27Vb
     0.1   1   1.63011e-09   1.35108e-09  -3.39694e-09  -2.67907e-09 
    0.01   2   1.72777e-09    1.6548e-09  -3.46398e-09  -3.35768e-09 
   0.001   5   1.72713e-09    1.7197e-09  -3.56663e-09  -3.53969e-09 
  0.0001  10   1.72746e-09   1.72705e-09  -3.56702e-09   -3.5652e-09 
   1e-05  20   1.72747e-09   1.72746e-09  -3.56701e-09  -3.56697e-09 
   1e-06  40   1.72747e-09   1.72747e-09  -3.56701e-09  -3.56701e-09 
case propagator = 2
eps_Theta sumBessel  hhVt      hhVb        hh1Vt          hh1Vb
     0.1   1  -6.00238e-06  -7.47613e-06   1.86123e-07   1.46263e-07 
    0.01   2  -5.99596e-06  -6.53661e-06    2.1354e-07   1.95285e-07 
   0.001   5  -6.00638e-06  -6.11464e-06    2.1381e-07   2.11015e-07 
  0.0001  10  -6.00616e-06  -6.01715e-06   2.13814e-07   2.13606e-07 
   1e-05  20  -6.00616e-06  -6.00656e-06   2.13814e-07   2.13808e-07 
   1e-06  40  -6.00616e-06  -6.00617e-06   2.13814e-07   2.13814e-07 
eps_Theta sumBessel  hh21Vt    hh21Vb       hh22Vt         hh22Vb
     0.1   1    2.7691e-09   2.09458e-09   3.59118e-08   4.14814e-08 
    0.01   2   2.68648e-09   2.57381e-09   3.52991e-08   3.70507e-08 
   0.001   5   2.68565e-09   2.67411e-09   3.53438e-08   3.56013e-08 
  0.0001  10   2.68585e-09   2.68528e-09   3.53403e-08   3.53597e-08 
   1e-05  20    2.6859e-09   2.68589e-09   3.53404e-08   3.53409e-08 
   1e-06  40    2.6859e-09    2.6859e-09   3.53404e-08   3.53404e-08 
eps_Theta sumBessel  hh27Vt    hh27Vb       hhdVt         hhdVb
     0.1   1  -6.28476e-08  -7.40297e-08    1.7889e-05   1.03116e-05 
    0.01   2  -6.12561e-08  -6.55694e-08   1.82624e-05   1.54228e-05 
   0.001   5    -6.126e-08  -6.20851e-08    1.8265e-05   1.76891e-05 
  0.0001  10  -6.12577e-08   -6.1337e-08   1.82666e-05   1.82087e-05 
   1e-05  20  -6.12577e-08  -6.12605e-08   1.82669e-05   1.82648e-05 
   1e-06  40  -6.12577e-08  -6.12577e-08   1.82669e-05   1.82669e-05 
eps_Theta sumBessel  hh1dVt    hh1dVb       hh21dVt       hh212Vb
     0.1   1   1.86123e-07   1.46263e-07   4.03056e-09   3.19134e-09 
    0.01   2    2.1354e-07   1.95285e-07   4.09165e-09   3.92313e-09 
   0.001   5    2.1381e-07   2.11015e-07   4.08681e-09   4.06711e-09 
  0.0001  10   2.13814e-07   2.13606e-07   4.08669e-09   4.08572e-09 
   1e-05  20   2.13814e-07   2.13808e-07   4.08668e-09   4.08666e-09 
   1e-06  40   2.13814e-07   2.13814e-07   4.08668e-09   4.08668e-09 
eps_Theta sumBessel  hh22dVt   hh22dVb      hh27dVt       hhd27Vb
     0.1   1  -9.16795e-08  -7.20568e-08   1.63099e-07   1.09274e-07 
    0.01   2  -1.05429e-07  -9.63534e-08   1.79354e-07   1.56151e-07 
   0.001   5  -1.05565e-07  -1.04171e-07   1.79486e-07   1.75063e-07 
  0.0001  10  -1.05563e-07  -1.05461e-07   1.79492e-07   1.79072e-07 
   1e-05  20  -1.05564e-07  -1.05561e-07   1.79493e-07   1.79479e-07 
   1e-06  40  -1.05564e-07  -1.05564e-07   1.79493e-07   1.79493e-07 
case propagator = 3
eps_Theta sumBessel  hhVt      hhVb        hh1Vt          hh1Vb
     0.1   1    6.7027e-07   4.60579e-07   7.48162e-09   6.03371e-09 
    0.01   2   6.71255e-07   6.13425e-07    7.4075e-09   7.20906e-09 
   0.001   5   6.70832e-07   6.62397e-07   7.50072e-09   7.47028e-09 
  0.0001  10   6.71034e-07   6.70391e-07   7.50056e-09   7.49907e-09 
   1e-05  20   6.71032e-07   6.71015e-07   7.50069e-09   7.50066e-09 
   1e-06  40   6.71031e-07   6.71031e-07   7.50069e-09   7.50069e-09 
