Overall outputs:
mpi4       : -9.18782e-05
mpi6       : -0.000923196
mk4        : -0.016881
mk6        : -0.0106084
meta4      : -0.063688
meta6      : 0.00479815
fpi4       : 0.208249
fpi6       : 0.0876026
fk4        : 0.384273
fk6        : 0.146928
feta4      : 0.466449
feta6      : 0.189037
qqup4      : 0.403343
qqup6      : 0.150256
qqstrange4 : 0.771527
qqstrange6 : -0.229579
The Li,Ci and pure loop parts
mpi4L       : -0.000123945
mpi4R       : 3.20667e-05
mpi6L       : -0.00235292
mpi6C       : -0.00319686
mpi6R       : 0.00462659
mk4L        : -0.00524071
mk4R        : -0.0116402
mk6L        : -0.0554756
mk6C        : -0.043132
mk6R        : 0.0879993
meta4L      : -0.0468537
meta4R      : -0.0168343
meta6L      : -0.143363
meta6C      : -0.0113312
meta6R      : 0.159493
fpi4L       : 0.0803182
fpi4R       : 0.127931
fpi6L       : 0.115219
fpi6C       : 0.0749157
fpi6R       : -0.102532
fk4L        : 0.188416
fk4R        : 0.195857
fk6L        : 0.216484
fk6C        : 0.0236096
fk6R        : -0.0931646
feta4L      : 0.224449
feta4R      : 0.242
feta6L      : 0.259006
feta6C      : 0.000922622
feta6R      : -0.0708919
qqup4L      : 0.145721
qqup4R      : 0.257623
qqup6L      : 0.118546
qqup6C      : -0.0272213
qqup6R      : 0.0589312
qqstrange4L : 0.347291
qqstrange4R : 0.424236
qqstrange6L : 0.187805
qqstrange6C : -0.510795
qqstrange6R : 0.0934112
