input used:
# mp0 :  0.130000000000000
# mk0 :  0.450000000000000
# f0  :  0.087700000000000
# mu  :  0.770000000000000
# Li set :  fitBE14
#mu : 0.77
#L1r  L2r  L3r :0.000528552266181 0.000814177210776 -0.00307190158082
#L4r  L5r  L6r :0.0003 0.001014976780543 0.000144108338197
#L7r  L8r  L9r :-0.000342935304325 0.000473156165745 0.00593
#L10r H1r  H2r :0 0 0
output for m_pi L = 2
 eps maxonesum maxtwosum  mpi4loVt    mpi4loVb    mpi6LloVt     mpi6LloVb      mpi6RloVt      mpi6RloVb
      10    1    1   0.000369169   0.000197023   4.19695e-05   2.69543e-05   4.43354e-05    1.7659e-05
       1    2    2   0.000369169   0.000295539   4.19695e-05    3.6229e-05   4.43349e-05   3.23763e-05
     0.1    5    5   0.000369169   0.000347969   4.19695e-05   4.03863e-05   4.73597e-05   4.31125e-05
    0.01   10   10   0.000369169   0.000365195   4.19679e-05   4.16434e-05   4.75273e-05     4.673e-05
   0.001   20   20   0.000369073   0.000368724   4.19475e-05   4.18988e-05    4.6878e-05   4.70508e-05
  0.0001   40   40    0.00036908    0.00036907   4.19269e-05   4.19252e-05   4.68822e-05   4.68935e-05
   1e-05   80   40   0.000369082   0.000369082   4.19263e-05   4.19262e-05   4.68809e-05   4.68866e-05
 eps maxonesum maxtwosum   mk4loVt     mk4loVb     mk6LloVt      mk6LloVb       mk6RloVt       mk6RloVb
      10    1    1   8.03662e-06   7.62278e-06   0.000491081   0.000297553   0.000293449   0.000297246
       1    2    2   8.03662e-06   7.96079e-06   0.000491081   0.000411011    0.00029386    0.00040887
     0.1    5    5   8.03662e-06   7.97564e-06   0.000491081   0.000468179   0.000533284   0.000454502
    0.01   10   10   8.03662e-06   7.97573e-06   0.000491355   0.000486636   0.000510166   0.000469029
   0.001   20   20   8.03662e-06   7.97573e-06   0.000491203   0.000490383   0.000481654   0.000481487
  0.0001   40   40   8.03662e-06   7.97573e-06   0.000490839    0.00049075   0.000481886   0.000481961
   1e-05   80   40   7.97581e-06   7.97573e-06   0.000490763   0.000490762   0.000481983   0.000481959
 eps maxonesum maxtwosum meta4loVt   meta4loVb   meta6LloVt    meta6LloVb     meta6RloVt     meta6RloVb
      10    1    1   -0.00030716  -0.000139916  -9.54404e-06   2.60891e-05   0.000360981   0.000215841
       1    2    2   -0.00030716  -0.000234184  -9.54404e-06   2.72906e-06   0.000370662   0.000309518
     0.1    5    5   -0.00030716  -0.000286331  -9.54404e-06   -7.2387e-06   0.000369289   0.000351172
    0.01   10   10   -0.00030716  -0.000303554  -9.04558e-06  -9.32508e-06   0.000368739   0.000364813
   0.001   20   20  -0.000307064  -0.000307082  -8.85287e-06  -9.58294e-06   0.000367439   0.000367421
  0.0001   40   40  -0.000307597  -0.000307429  -9.45408e-06  -9.59909e-06   0.000367744   0.000367643
   1e-05   80   40  -0.000307441  -0.000307441  -9.59888e-06   -9.5995e-06   0.000367653   0.000367653
 eps maxonesum maxtwosum  fpi4loVt    fpi4loVb    fpi6LloVt     fpi6LloVb      fpi6RloVt      fpi6RloVb
      10    1    1     -0.043882    -0.0234966  -0.000456618  -0.000341671    0.00182108    0.00107952
       1    2    2     -0.043882    -0.0351665  -0.000456618  -0.000408955    0.00182108    0.00142466
     0.1    5    5     -0.043882    -0.0413719  -0.000456618   -0.00043723    0.00150182    0.00148963
    0.01   10   10     -0.043882    -0.0434104  -0.000456571  -0.000450117    0.00147746    0.00147649
   0.001   20   20    -0.0438706     -0.043828  -0.000456119  -0.000454664    0.00147531    0.00147316
  0.0001   40   40    -0.0438705    -0.0438691  -0.000455495  -0.000455409    0.00147499    0.00147481
   1e-05   80   40    -0.0438705    -0.0438705  -0.000455451   -0.00045545    0.00147498    0.00147528
 eps maxonesum maxtwosum   fk4loVt     fk4loVb     fk6LloVt      fk6LloVb       fk6RloVt       fk6RloVb
      10    1    1    -0.0166733   -0.00901401   -0.00200068   -0.00115443    0.00119467   0.000365344
       1    2    2    -0.0166733    -0.0134028   -0.00200068   -0.00163712    0.00117974   0.000490936
     0.1    5    5    -0.0166733    -0.0157306   -0.00200068   -0.00189237   0.000673081   0.000603794
    0.01   10   10    -0.0166733     -0.016495   -0.00200135   -0.00197877   0.000672151   0.000646124
   0.001   20   20     -0.016669    -0.0166516   -0.00200076   -0.00199738   0.000659235   0.000658298
  0.0001   40   40    -0.0166679     -0.016667   -0.00199956   -0.00199933   0.000659387    0.00065948
   1e-05   80   40    -0.0166675    -0.0166675    -0.0019994    -0.0019994   0.000659161   0.000659239
 eps maxonesum maxtwosum feta4loVt   feta4loVb   feta6LloVt     feta6LloVb     feta6RloVt     feta6RloVb
      10    1    1   -0.00046107  -0.000427832  -0.000462684  -0.000311682  -0.000166677  -9.26001e-05
       1    2    2   -0.00046107  -0.000456341  -0.000462684  -0.000392705   -0.00015417  -0.000107865
     0.1    5    5   -0.00046107  -0.000458125  -0.000462684  -0.000440019  -0.000137954  -0.000130927
    0.01   10   10   -0.00046107  -0.000458145  -0.000463627  -0.000457914  -0.000135801  -0.000133936
   0.001   20   20   -0.00046107  -0.000458145   -0.00046387  -0.000461942  -0.000136064  -0.000136066
  0.0001   40   40  -0.000458147  -0.000458145   -0.00046256  -0.000462361  -0.000136097  -0.000136132
   1e-05   80   40  -0.000458147  -0.000458145  -0.000462377  -0.000462375  -0.000136133  -0.000136131
 eps maxonesum maxtwosum qqup4loVt   qqup4loVb   qqup6LloVt     qqup6LloVb     qqup6RloVt     qqup6RloVb
      10    1    1    -0.0659196     -0.035335   1.17287e-05   7.20516e-05    0.00212315   0.000688407
       1    2    2    -0.0659196    -0.0528455   1.17287e-05   7.44925e-05    0.00212315    0.00129774
     0.1    5    5    -0.0659196    -0.0621539   1.17287e-05   4.53185e-05    0.00212315    0.00180708
    0.01   10   10    -0.0659196    -0.0652117   1.17287e-05   2.21282e-05    0.00212315    0.00204619
   0.001   20   20    -0.0659026    -0.0658381   1.18276e-05   1.34355e-05    0.00212189    0.00211297
  0.0001   40   40    -0.0659019    -0.0658996   1.19273e-05   1.20659e-05    0.00212216     0.0021217
   1e-05   80   40    -0.0659018    -0.0659018   1.19938e-05   1.19945e-05    0.00212211     0.0021221
 eps maxonesum maxtwosum qqstrange4loVt qqstrange4loVb qqstrange6LloVt qqstrange6LloVb qqstrange6RloVt qqstrange6RloVb
      10    1    1  -0.000694134   -0.00064573   -1.0138e-05  -1.86136e-05  -6.57395e-05   -7.2979e-05
       1    2    2  -0.000694134   -0.00068708   -1.0138e-05  -1.50739e-05  -6.57395e-05  -7.22282e-05
     0.1    5    5  -0.000694134  -0.000689605   -1.0138e-05  -1.15097e-05  -6.57395e-05  -6.75245e-05
    0.01   10   10  -0.000694134  -0.000689633   -1.0138e-05  -1.02472e-05  -6.57395e-05   -6.5738e-05
   0.001   20   20  -0.000694134  -0.000689633   -1.0145e-05  -9.98774e-06  -6.57495e-05  -6.53696e-05
  0.0001   40   40  -0.000690237  -0.000689633  -9.73188e-06  -9.96224e-06  -6.52293e-05  -6.53334e-05
   1e-05   80   40  -0.000689636  -0.000689633  -9.96098e-06  -9.96137e-06  -6.53319e-05  -6.53321e-05
output for m_pi L = 3
 eps maxonesum maxtwosum  mpi4loVt    mpi4loVb    mpi6LloVt     mpi6LloVb      mpi6RloVt      mpi6RloVb
      10    1    1   5.51421e-05   3.77687e-05    4.7128e-06   3.40598e-06  -3.76733e-06    -3.289e-06
       1    2    2   5.51421e-05   5.03639e-05    4.7128e-06   4.36728e-06  -3.77428e-06  -4.87168e-06
     0.1    5    5   5.51421e-05   5.43988e-05    4.7128e-06   4.65973e-06  -6.05869e-06  -5.48568e-06
    0.01   10   10   5.51421e-05   5.50621e-05    4.7128e-06   4.70804e-06  -5.66891e-06  -5.63036e-06
   0.001   20   20   5.51134e-05   5.51134e-05   4.71102e-06   4.71203e-06  -5.64132e-06  -5.64838e-06
  0.0001   40   40   5.51147e-05   5.51148e-05   4.71224e-06   4.71215e-06  -5.64862e-06  -5.64869e-06
   1e-05   80   40   5.51148e-05   5.51148e-05   4.71204e-06   4.71215e-06  -5.64868e-06  -5.64876e-06
 eps maxonesum maxtwosum   mk4loVt     mk4loVb     mk6LloVt      mk6LloVb       mk6RloVt       mk6RloVb
      10    1    1   7.17397e-08   7.83542e-08    6.1396e-05   4.27178e-05   3.27915e-05   3.06577e-05
       1    2    2   7.17397e-08    7.9032e-08    6.1396e-05   5.63403e-05   2.43331e-05    3.7188e-05
     0.1    5    5   7.17397e-08   7.90399e-08    6.1396e-05    6.0654e-05   2.77857e-05   3.88121e-05
    0.01   10   10   7.17397e-08   7.90399e-08    6.1396e-05   6.13576e-05   3.83341e-05   3.91241e-05
   0.001   20   20   7.17397e-08   7.90399e-08   6.13851e-05   6.14117e-05   3.94074e-05   3.91778e-05
  0.0001   40   40   8.11016e-08   7.90399e-08   6.14151e-05   6.14132e-05   3.93128e-05   3.93137e-05
   1e-05   80   40   7.90586e-08   7.90399e-08    6.1413e-05   6.14132e-05   3.93134e-05   3.93134e-05
 eps maxonesum maxtwosum meta4loVt   meta4loVb   meta6LloVt    meta6LloVb     meta6RloVt     meta6RloVb
      10    1    1  -5.40428e-05  -3.66789e-05  -1.17366e-05  -9.01615e-06   4.91793e-05   3.43554e-05
       1    2    2  -5.40428e-05  -4.92553e-05  -1.17366e-05  -1.11371e-05   4.83836e-05   4.44323e-05
     0.1    5    5  -5.40428e-05  -5.32898e-05  -1.17366e-05  -1.15764e-05   4.78698e-05   4.73492e-05
