precision set to :4.01015e-15
m1sq m2sq m3sq qsq mu2: 0.018225 0.245025 0.300304 0.5929
hh, iprop=1,8
 1 8.10494258e-05 8.10494258e-05
 2 4.79164627e-05 4.79164627e-05
 3 2.358840457e-05 2.358840457e-05
 4 3.637754665e-05 3.637754665e-05
 5 -0.0002622214339 -0.0002622214339
 6 -0.0002468008929 -0.0002468008929
 7 -0.0001313916065 -0.0001313916065
 8 0.0001785642872 0.0001785642872
here  hh1 i=1,8
hh1, iprop=1,8
 1 3.031441482e-05 3.031441482e-05
 2 -1.327879949e-05 -1.327879949e-05
 3 9.554499672e-06 9.554499672e-06
 4 1.773727481e-05 1.773727481e-05
 5 -3.216401567e-05 -3.216401567e-05
 6 -3.012004274e-05 -3.012004274e-05
 7 -6.910754809e-05 -6.910754809e-05
 8 3.102199093e-05 3.102199092e-05
hh21, iprop=1,8
 1 1.897639274e-05 1.897639274e-05
 2 -6.078685756e-06 -6.078685756e-06
 3 6.48433988e-06 6.48433988e-06
 4 1.234234029e-05 1.234234029e-05
 5 -1.147862033e-05 -1.147862033e-05
 6 -1.074077783e-05 -1.074077783e-05
 7 -4.688814993e-05 -4.688814993e-05
 8 1.188514158e-05 1.188514157e-05
hhd, iprop=1,8
 1 1.327879949e-05 1.327879949e-05
 2 6.571895968e-05 6.571895968e-05
 3 3.216401567e-05 3.216401567e-05
 4 3.012004274e-05 3.012004274e-05
 5 -7.658227087e-05 -7.658227087e-05
 6 -7.09600254e-05 -7.09600254e-05
 7 -3.102199092e-05 -3.102199092e-05
 8 0.0001394761191 0.0001394761192
hh1d, iprop=1,8
 1 6.078685757e-06 6.078685757e-06
 2 6.416369069e-06 6.416369069e-06
 3 1.147862033e-05 1.147862033e-05
 4 1.074077783e-05 1.074077783e-05
 5 -9.945780399e-06 -9.945780399e-06
 6 -9.191068958e-06 -9.191068958e-06
 7 -1.188514156e-05 -1.188514156e-05
 8 2.219106391e-05 2.219106394e-05
hh21d, iprop=1,8
 1 3.37324446e-06 3.37324446e-06
 2 1.760204254e-06 1.760204254e-06
 3 5.877796701e-06 5.877796701e-06
 4 5.498272882e-06 5.498272882e-06
 5 -2.917488392e-06 -2.917488391e-06
 6 -2.69408431e-06 -2.69408431e-06
 7 -6.273568861e-06 -6.273568861e-06
 8 6.964547537e-06 6.964547572e-06
lm = 0, case 1
m1sq m2sq m3sq qsq mu2: 1.087849 0.245025 0.300304 0.5929
hh, iprop=1,8
 1 0.0001199945377 0.0001199945377
 2 0.0001060961953 0.0001060961953
 3 -7.897337182e-05 -7.897337182e-05
 4 -6.065499908e-05 -6.065499908e-05
 5 -5.851239078e-05 -5.851239078e-05
 6 -5.555686671e-05 -5.555686671e-05
 7 -8.446072303e-05 -8.446072303e-05
 8 1.92371391e-05 1.92371391e-05
hh1, iprop=1,8
 1 2.220687944e-06 2.220687944e-06
 2 -3.385226013e-05 -3.385226013e-05
 3 -1.290392724e-05 -1.290392724e-05
 4 -3.378997606e-06 -3.378997606e-06
 5 -1.596611364e-05 -1.596611364e-05
 6 -1.505376812e-05 -1.505376812e-05
 7 -5.344084127e-05 -5.344084127e-05
 8 8.707981356e-06 8.707981356e-06
hh21, iprop=1,8
 1 1.018639433e-05 1.018639433e-05
 2 -9.782160622e-06 -9.782160622e-06
 3 -3.056020361e-06 -3.056020361e-06
 4 3.390329268e-06 3.390329268e-06
 5 -7.386974542e-06 -7.386974542e-06
 6 -6.946173935e-06 -6.946173935e-06
 7 -3.91076928e-05 -3.91076928e-05
 8 4.974482454e-06 4.974482454e-06
hhd, iprop=1,8
 1 3.385226013e-05 3.385226013e-05
 2 1.00401521e-05 1.00401521e-05
 3 1.596611364e-05 1.596611364e-05
 4 1.505376812e-05 1.505376812e-05
 5 -5.444098074e-06 -5.444098074e-06
 6 -5.085059671e-06 -5.085059671e-06
 7 -8.707981357e-06 -8.707981357e-06
 8 5.337915779e-06 5.337915779e-06
hh1d, iprop=1,8
 1 9.782160623e-06 9.782160623e-06
 2 2.316896841e-06 2.316896841e-06
 3 7.386974541e-06 7.386974541e-06
 4 6.946173934e-06 6.946173934e-06
 5 -1.934010375e-06 -1.934010375e-06
 6 -1.799488526e-06 -1.799488526e-06
 7 -4.974482454e-06 -4.974482454e-06
 8 2.483413551e-06 2.483413551e-06
hh21d, iprop=1,8
 1 4.646078804e-06 4.646078804e-06
 2 8.89735171e-07 8.89735171e-07
 3 4.256910973e-06 4.256910973e-06
 4 3.997203838e-06 3.997203838e-06
 5 -9.072584377e-07 -9.072584377e-07
 6 -8.424017192e-07 -8.424017192e-07
 7 -3.224822296e-06 -3.224822296e-06
 8 1.360686714e-06 1.360686714e-06
lm = 0, case 2
m1sq m2sq m3sq qsq mu2: 0.018225 0.466489 0.300304 0.5929
hh, iprop=1,8
 1 8.90993791e-05 8.90993791e-05
 2 -9.569470346e-07 -9.569470346e-07
 3 5.021048436e-05 5.021048436e-05
 4 1.156434455e-05 1.156434455e-05
 5 -0.0001892980469 -0.0001892980469
 6 -0.0002161472085 -0.0002161472085
 7 -9.731300059e-05 -9.731300059e-05
 8 0.0001093643752 0.0001093643752
hh1, iprop=1,8
 1 3.447654093e-05 3.447654093e-05
 2 -1.906525838e-05 -1.906525838e-05
 3 2.807719803e-05 2.807719803e-05
 4 4.761077438e-06 4.761077438e-06
 5 -2.167268373e-05 -2.167268373e-05
 6 -2.500590741e-05 -2.500590741e-05
 7 -5.063440945e-05 -5.063440945e-05
 8 1.751895173e-05 1.751895173e-05
