,name,L_1,L_2,L_3,L_6,L_7,L_8,L_4,L_5,A_k,A_p,A_a,A_loga,A_aa
0,ma-ratio_FKFK_nnlo,,,,,,,0.0000(50),0.0000(50),0.00(66),0.00(66),0.0(4.1),,
1,ma-ratio_FKFK_nnlo_a4,,,,,,,0.0000(50),0.0000(50),0.00(89),0.00(89),0.0000(15),,0(52)
2,ma-ratio_FKFK_nnlo_log_logSq_sunset,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0(11),0(11),0.00(98),,
3,ma-ratio_FKFK_nnlo_log_logSq_sunset_a4,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0(11),0(11),0.0(1.0),,0.00(65)
4,ma-ratio_FKFK_nnlo_log_logSq_sunset_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0(12),0(12),0.0(1.4),,
5,ma-ratio_FKFK_nnlo_log_logSq_sunset_a4_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0(12),0(12),0.0(1.4),,0.00(14)
6,ma-ratio_FKFK_nnlo_alphaS,,,,,,,0.0000(50),0.0000(50),0.00(59),0.00(59),0.0(3.5),0.0(3.5),
7,ma-ratio_FKFK_nnlo_alphaS_a4,,,,,,,0.0000(50),0.0000(50),0.00(59),0.00(59),0.0(3.5),0.0(3.5),0.00(16)
8,ma-ratio_FKFK_nnlo_log_logSq_sunset_alphaS,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0(11),0(11),0.00(82),0.00(82),
9,ma-ratio_FKFK_nnlo_log_logSq_sunset_alphaS_a4,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0(11),0(11),0.00(85),0.00(85),0.00(29)
10,ma-ratio_FKFK_nnlo_log_logSq_sunset_alphaS_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0(12),0(12),0.0(1.2),0.0(1.2),
11,ma-ratio_FKFK_nnlo_log_logSq_sunset_alphaS_a4_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0(12),0(12),0.0(1.2),0.0(1.2),0.0(5.1)
12,ma-ratio_FKFK_nnlo_FV,,,,,,,0.0000(50),0.0000(50),0(11),0(11),0.0(8.6)e-05,,
13,ma-ratio_FKFK_nnlo_a4_FV,,,,,,,0.0000(50),0.0000(50),0.0(1.9),0.0(1.9),0.0000(14),,0(51)
14,ma-ratio_FKFK_nnlo_log_logSq_sunset_FV,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0(11),0(11),0.0(1.0),,
15,ma-ratio_FKFK_nnlo_log_logSq_sunset_a4_FV,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0(11),0(11),0.00(91),,0.0(4.7)
16,ma-ratio_FKFK_nnlo_log_logSq_sunset_FV_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0(12),0(12),0.0(1.5),,
17,ma-ratio_FKFK_nnlo_log_logSq_sunset_a4_FV_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0(12),0(12),0.0(1.5),,0.000(97)
18,ma-ratio_FKFK_nnlo_alphaS_FV,,,,,,,0.0000(50),0.0000(50),0(11),0(11),0.00000(33),0.00000(33),
19,ma-ratio_FKFK_nnlo_alphaS_a4_FV,,,,,,,0.0000(50),0.0000(50),0.0(1.9),0.0(1.9),0.0000(18),0.0000(18),0(51)
20,ma-ratio_FKFK_nnlo_log_logSq_sunset_alphaS_FV,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0(11),0(11),0.00(87),0.00(87),
21,ma-ratio_FKFK_nnlo_log_logSq_sunset_alphaS_a4_FV,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0(11),0(11),0.00(78),0.00(78),0.0(3.6)
22,ma-ratio_FKFK_nnlo_log_logSq_sunset_alphaS_FV_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0(12),0(12),0.0(1.3),0.0(1.3),
23,ma-ratio_FKFK_nnlo_log_logSq_sunset_alphaS_a4_FV_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0(12),0(12),0.0(1.3),0.0(1.3),0.00(27)
24,ma-ratio_FKFpi_nnlo,,,,,,,0.0000(50),0.0000(50),0(16),0(16),0.00000(80),,
25,ma-ratio_FKFpi_nnlo_a4,,,,,,,0.0000(50),0.0000(50),0(37),0(37),0(12),,0(203)
26,ma-ratio_FKFpi_nnlo_log_logSq_sunset,0.00000(24),0.00000(22),0.0000(31),0.00000(10),0.00000(34),0.00000(14),0.0000(50),0.0000(50),0.0(5.7),0.0(5.7),0.0000(75),,
27,ma-ratio_FKFpi_nnlo_log_logSq_sunset_a4,0.00000(24),0.00000(22),0.0000(31),0.00000(10),0.00000(34),0.00000(14),0.0000(50),0.0000(50),0.0(5.7),0.0(5.7),0.000(12),,0.00(14)
28,ma-ratio_FKFpi_nnlo_log_logSq_sunset_bijnens,0.00024(12),0.00022(11),-0.0031(15),-0.00010(10),-0.00034(17),0.00014(10),0.0000(50),0.0000(50),0.0(6.3),0.0(6.3),0.000(10),,
29,ma-ratio_FKFpi_nnlo_log_logSq_sunset_a4_bijnens,0.00024(12),0.00022(11),-0.0031(15),-0.00010(10),-0.00034(17),0.00014(10),0.0000(50),0.0000(50),0.0(6.2),0.0(6.2),0.000(32),,0.00(44)
30,ma-ratio_FKFpi_nnlo_alphaS,,,,,,,0.0000(50),0.0000(50),0(16),0(16),0.0000(29),0.0000(29),
31,ma-ratio_FKFpi_nnlo_alphaS_a4,,,,,,,0.0000(50),0.0000(50),0(37),0(37),0(11),0(11),0(205)
32,ma-ratio_FKFpi_nnlo_log_logSq_sunset_alphaS,0.00000(24),0.00000(22),0.0000(31),0.00000(10),0.00000(34),0.00000(14),0.0000(50),0.0000(50),0.0(5.8),0.0(5.8),0.000(26),0.000(26),
33,ma-ratio_FKFpi_nnlo_log_logSq_sunset_alphaS_a4,0.00000(24),0.00000(22),0.0000(31),0.00000(10),0.00000(34),0.00000(14),0.0000(50),0.0000(50),0.0(5.7),0.0(5.7),0.000(49),0.000(49),0.00(40)
34,ma-ratio_FKFpi_nnlo_log_logSq_sunset_alphaS_bijnens,0.00024(12),0.00022(11),-0.0031(15),-0.00010(10),-0.00034(17),0.00014(10),0.0000(50),0.0000(50),0.0(6.3),0.0(6.3),0.0000(50),0.0000(50),
35,ma-ratio_FKFpi_nnlo_log_logSq_sunset_alphaS_a4_bijnens,0.00024(12),0.00022(11),-0.0031(15),-0.00010(10),-0.00034(17),0.00014(10),0.0000(50),0.0000(50),0.0(6.2),0.0(6.2),0.000(27),0.000(27),0.00(80)
36,ma-ratio_FKFpi_nnlo_FV,,,,,,,0.0000(50),0.0000(50),0(16),0(16),0.00000(20),,
37,ma-ratio_FKFpi_nnlo_a4_FV,,,,,,,0.0000(50),0.0000(50),0(34),0(34),0(12),,0(196)
38,ma-ratio_FKFpi_nnlo_log_logSq_sunset_FV,0.00000(24),0.00000(22),0.0000(31),0.00000(10),0.00000(34),0.00000(14),0.0000(50),0.0000(50),0.0(5.9),0.0(5.9),0.000(12),,
