,name,L_1,L_2,L_3,L_6,L_7,L_8,L_4,L_5,A_k,A_p,A_a,A_loga,A_aa
0,xpt-ratio_FKFK_nnlo,,,,,,,0.0000(50),0.0000(50),0.0(3.4),0.0(3.4),0.0(2.8),,
1,xpt-ratio_FKFK_nnlo_a4,,,,,,,0.0000(50),0.0000(50),0.0(3.4),0.0(3.4),0.0(2.8),,0.000(21)
2,xpt-ratio_FKFK_nnlo_log_logSq_sunset,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0(10),0(10),0.0(4.2),,
3,xpt-ratio_FKFK_nnlo_log_logSq_sunset_a4,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0(10),0(10),0.0(4.9),,0(18)
4,xpt-ratio_FKFK_nnlo_log_logSq_sunset_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0.0(8.8),0.0(8.8),0.0(4.1),,
5,xpt-ratio_FKFK_nnlo_log_logSq_sunset_a4_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0.0(8.8),0.0(8.8),0.0(4.2),,0.0(2.1)
6,xpt-ratio_FKFK_nnlo_alphaS,,,,,,,0.0000(50),0.0000(50),0.0(3.3),0.0(3.3),0.0(2.3),0.0(2.3),
7,xpt-ratio_FKFK_nnlo_alphaS_a4,,,,,,,0.0000(50),0.0000(50),0.0(3.4),0.0(3.4),0.0(6.3),0.0(6.3),0(58)
8,xpt-ratio_FKFK_nnlo_log_logSq_sunset_alphaS,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0(10),0(10),0.0(3.4),0.0(3.4),
9,xpt-ratio_FKFK_nnlo_log_logSq_sunset_alphaS_a4,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0(10),0(10),0.0(3.5),0.0(3.5),0.0(1.1)
10,xpt-ratio_FKFK_nnlo_log_logSq_sunset_alphaS_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0.0(8.7),0.0(8.7),0.0(3.5),0.0(3.5),
11,xpt-ratio_FKFK_nnlo_log_logSq_sunset_alphaS_a4_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0.0(8.8),0.0(8.8),0.0(3.5),0.0(3.5),0.00(77)
12,xpt-ratio_FKFK_nnlo_FV,,,,,,,0.0000(50),0.0000(50),0.0(2.1),0.0(2.1),0.0(3.1),,
13,xpt-ratio_FKFK_nnlo_a4_FV,,,,,,,0.0000(50),0.0000(50),0.0(2.1),0.0(2.1),0.0(3.1),,0.00(18)
