,name,FK/Fpi,delta_su2,logGBF,chi2/df,Q,vol,po:A_x,po:L_4,po:L_5,po:L_1,po:L_2,po:L_3,po:L_6,po:L_7,po:L_8,po:L_9,po:A_a,po:A_k,po:A_p,po:A_loga,po:A_aa,po:A_ak,po:A_ap,po:A_kk,po:A_kp,po:A_pp,eb:disc,eb:chiral,eb:pp_input,eb:stat
0,ma_FKFK_nnlo_FV,1.1821(26),-0.00386(68),51.15480794452715,2.4202180975679584,0.000890342928788211,True,,-0.0019(35),-0.00081(85),,,,,,,,-1.08(69),5.1(6.9),-2.1(3.8),,,,,,,,7.237243144152817e-06,0.00027914503400872104,0.0019415163995974503,0.001770618451781591
1,ma_FKFK_nnlo_a4_FV,1.2030(55),-0.00445(72),56.772594457866106,1.3599431115969995,0.1454154851171668,True,,0.0013(35),0.00347(97),,,,,,,,-8.7(1.9),-5.1(6.9),4.9(3.5),,132(28),,,,,,0.00017478162734017887,0.0013198319945324775,0.0005876808523034094,0.005168608531462726
2,ma_FKFK_nnlo_log_logSq_sunset_FV_bijnens,1.1819(33),-0.00386(69),49.849993284724995,2.4342587899639496,0.0008229614918330988,True,,-0.0011(21),-0.00131(65),0.00029(14),0.00032(16),-0.0032(15),-0.00006(10),-0.00034(17),0.00020(10),,-1.23(58),3.2(8.2),-4.2(4.6),,,,,,,,1.230021689832792e-05,0.0005288794266796537,0.002141531486696012,0.0024079226028194123
3,ma_FKFK_nnlo_log_logSq_sunset_a4_FV_bijnens,1.1895(42),-0.00407(70),50.1417595739795,2.0025408522680888,0.008288984339780557,True,,-0.0010(27),-0.00065(72),0.00029(14),0.00033(16),-0.0029(15),-0.00006(10),-0.00031(17),0.00021(10),,-5.5(1.7),2.6(7.7),-2.6(4.2),,60(22),,,,,,8.550059019106752e-05,0.0007147629027078159,0.0017984288140781121,0.0037069292873378548
4,ma_FKFK_nnlo_alphaS_FV,1.2099(89),-0.00464(75),54.671615194730165,1.8217153151564145,0.020145473632230224,True,,-0.0003(35),0.00168(97),,,,,,,,-34(10),-0.3(6.9),2.1(3.6),53(16),,,,,,,0.0016473651565533875,0.001740329309960598,0.0007716916089327536,0.008523130989652869
5,ma_FKFK_nnlo_alphaS_a4_FV,1.2044(99),-0.00449(75),55.39173956447904,1.3581614227002727,0.1463838175691013,True,,0.0012(35),0.00346(97),,,,,,,,-11(14),-5.0(6.9),4.9(3.5),4(25),126(43),,,,,,0.002371268859385043,0.0009977873458385967,0.0005604143843523466,0.009474781946075327
6,ma_FKFK_nnlo_log_logSq_sunset_alphaS_FV_bijnens,1.1977(73),-0.00430(72),51.03065367111101,2.085723977298384,0.0054149592117381075,True,,-0.0011(25),-0.00087(69),0.00029(14),0.00033(16),-0.0030(15),-0.00006(10),-0.00032(17),0.00020(10),,-21.8(8.5),3.1(7.9),-3.4(4.3),32(13),,,,,,,0.0010217190728136866,0.0009021462482469424,0.0020966941709775018,0.0068603035662206215
7,ma_FKFK_nnlo_log_logSq_sunset_alphaS_a4_FV_bijnens,1.1917(87),-0.00413(73),48.74569538121753,1.9975977977731536,0.00849861128273849,True,,-0.0010(27),-0.00066(72),0.00029(14),0.00033(16),-0.0029(15),-0.00006(10),-0.00032(17),0.00021(10),,-9(13),2.7(7.7),-2.7(4.2),7(24),50(40),,,,,,0.002131989397050153,0.0007393714545372954,0.0018421037672377149,0.008214396130161563
8,ma_FKFpi_nnlo_FV,1.1905(25),-0.00410(69),47.44911440567439,2.816330363524897,8.964748042742071e-05,True,,-0.0014(22),0.00015(62),,,,,,,,-0.11(40),0.3(8.2),2.4(4.3),,,,,,,,7.344108403090544e-06,0.00034000265372154,0.001239876016756498,0.0021759449275327
9,ma_FKFpi_nnlo_a4_FV,1.2101(53),-0.00465(72),55.107877568276145,1.3312176851989872,0.16166376645020925,True,,-0.0002(22),0.0032(10),,,,,,,,-8.8(2.0),-3.9(8.2),8.3(4.5),,128(30),,,,,,0.0001736265549028715,0.0008833522493127035,0.0005490281330408058,0.005051690151616285
10,ma_FKFpi_nnlo_log_logSq_sunset_FV_bijnens,1.1865(31),-0.00399(69),48.53492998997723,2.598640124816149,0.0003225261934907277,True,,-0.0005(20),-0.00034(61),0.00023(12),0.00022(11),-0.0035(15),-0.00010(10),-0.00035(17),0.00014(10),,0.16(39),-0.08(8.29),1.2(4.3),,,,,,,,9.990812618086647e-06,0.0003435663474335709,0.0011249999727509816,0.0028345398735283482
11,ma_FKFpi_nnlo_log_logSq_sunset_a4_FV_bijnens,1.1978(41),-0.00430(70),52.49522669031239,1.6682936076120198,0.04089289843466696,True,,0.00007(282),0.00066(68),0.00024(12),0.00023(11),-0.0027(15),-0.00010(10),-0.00032(17),0.00015(10),,-5.6(1.5),-0.9(7.6),1.6(3.8),,80(21),,,,,,7.952169705899695e-05,0.0006193477426544762,0.0005969435777000914,0.004013472394741809
12,ma_FKFpi_nnlo_alphaS_FV,1.2232(91),-0.00501(76),52.907313727491406,1.8699793863285668,0.015979232576768462,True,,-0.0009(22),0.00196(83),,,,,,,,-35.4(9.5),-1.9(8.2),5.7(4.4),55(15),,,,,,,0.001546080030370525,0.001183438781402007,0.0005163881903177378,0.008809821071187617
13,ma_FKFpi_nnlo_alphaS_a4_FV,1.212(11),-0.00469(77),53.67918823830431,1.3296083478857872,0.16261478487004313,True,,-0.0002(22),0.0031(10),,,,,,,,-11(13),-3.9(8.2),8.2(4.5),4(23),123(44),,,,,,0.002518283031697973,0.0006711045498061268,0.0005248004605024215,0.01027075565120835
14,ma_FKFpi_nnlo_log_logSq_sunset_alphaS_FV_bijnens,1.2105(75),-0.00466(74),52.45938617258058,1.8896683797263136,0.014521354716028816,True,,-0.0003(25),0.00032(65),0.00024(12),0.00022(11),-0.0030(15),-0.00010(10),-0.00033(17),0.00014(10),,-26.3(7.8),-0.3(7.9),1.4(4.0),41(12),,,,,,,0.0009852549375198435,0.0009013590016991779,0.0010119783556024162,0.0073351544328925
15,ma_FKFpi_nnlo_log_logSq_sunset_alphaS_a4_FV_bijnens,1.2003(94),-0.00437(74),51.01693457342151,1.6631623869105718,0.0418393194899916,True,,0.00005(282),0.00065(68),0.00024(12),0.00023(11),-0.0027(15),-0.00010(10),-0.00032(17),0.00015(10),,-9(12),-0.9(7.6),1.6(3.8),6(22),71(37),,,,,,0.0021045892783767488,0.0005913381257208089,0.0006373236071905146,0.009072550707568692
16,ma_FpiFpi_nnlo_FV,1.1914(31),-0.00412(69),47.072411539465364,2.8407992535981723,7.743140587180029e-05,True,,-0.0009(34),0.00017(48),,,,,,,,0.56(26),-0.07(6.60),3.7(3.3),,,,,,,,6.115129575736756e-06,0.00039371635410058274,0.0011864863161697775,0.002787116793439389
17,ma_FpiFpi_nnlo_a4_FV,1.2102(54),-0.00465(72),54.63275480719169,1.2360644211654468,0.22570508584602475,True,,0.0005(35),0.00241(83),,,,,,,,-8.2(2.1),-4.6(6.7),6.9(3.5),,120(28),,,,,,0.00014475393718485976,0.00035211389372475494,0.0013220403389898655,0.005169350897756967
