,name,A_x,L_4,L_5,L_1,L_2,L_3,L_6,L_7,L_8,L_9,A_a,A_k,A_p,A_loga,A_aa,A_ak,A_ap,A_kk,A_kp,A_pp,A_aaa
0,ma_FKFK_n2lo_FV,,0.0000(50),0.0000(50),,,,,,,,0.0(1.0),0.00(84),0.00(84),,,,,,,,
1,ma_FKFK_n2lo_log_logSq_sunset_FV_bijnens,,0.0000(50),0.0000(50),0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),,0.0(1.1),0.0(4.5),0.0(4.5),,,,,,,,
2,ma_FKFK_n2lo_alphaS_FV,,0.0000(50),0.0000(50),,,,,,,,0(34),0.000(17),0.000(17),0(34),,,,,,,
3,ma_FKFK_n2lo_log_logSq_sunset_alphaS_FV_bijnens,,0.0000(50),0.0000(50),0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),,0.0(1.0),0.0(4.4),0.0(4.4),0.0(1.0),,,,,,,
4,ma_FKFpi_n2lo_FV,,0.0000(50),0.0000(50),,,,,,,,0(50),0.0(1.0),0.0(1.0),,,,,,,,
5,ma_FKFpi_n2lo_log_logSq_sunset_FV_bijnens,,0.0000(50),0.0000(50),0.00024(12),0.00022(11),-0.0031(15),-0.00010(10),-0.00034(17),0.00014(10),,0.0(1.0),0.00(24),0.00(24),,,,,,,,
6,ma_FKFpi_n2lo_alphaS_FV,,0.0000(50),0.0000(50),,,,,,,,0(38),0.0(4.5),0.0(4.5),0(38),,,,,,,
7,ma_FKFpi_n2lo_log_logSq_sunset_alphaS_FV_bijnens,,0.0000(50),0.0000(50),0.00024(12),0.00022(11),-0.0031(15),-0.00010(10),-0.00034(17),0.00014(10),,0(28),0.00(74),0.00(74),0(28),,,,,,,
8,ma_FpiFpi_n2lo_FV,,0.0000(50),0.0000(50),,,,,,,,0.0(1.0),0.0(2.9),0.0(2.9),,,,,,,,
9,ma_FpiFpi_n2lo_log_logSq_sunset_FV_bijnens,,0.0000(50),0.0000(50),0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),,0.0(1.0),0.0(1.8),0.0(1.8),,,,,,,,
10,ma_FpiFpi_n2lo_alphaS_FV,,0.0000(50),0.0000(50),,,,,,,,0(34),0.0(4.4),0.0(4.4),0(34),,,,,,,
11,ma_FpiFpi_n2lo_log_logSq_sunset_alphaS_FV_bijnens,,0.0000(50),0.0000(50),0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),,0(28),0.0(2.2),0.0(2.2),0(28),,,,,,,
12,ma_FKFK_n2lo_a4_FV,,0.0000(50),0.0000(50),,,,,,,,0(97),0.0(5.8),0.0(5.8),,0(1000),,,,,,
13,ma_FKFK_n2lo_log_logSq_sunset_a4_FV_bijnens,,0.0000(50),0.0000(50),0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),,0.0(5.5),0.0(3.5),0.0(3.5),,0(1050),,,,,,
14,ma_FKFK_n2lo_alphaS_a4_FV,,0.0000(50),0.0000(50),,,,,,,,0.0(7.1),0.0(5.5),0.0(5.5),0.0(7.1),0(1210),,,,,,
15,ma_FKFK_n2lo_log_logSq_sunset_alphaS_a4_FV_bijnens,,0.0000(50),0.0000(50),0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),,0.0(4.8),0.0(3.4),0.0(3.4),0.0(4.8),0(980),,,,,,
