,name,FK/Fpi,delta_su2,logGBF,chi2/df,Q,vol,po:A_x,po:L_4,po:L_5,po:L_1,po:L_2,po:L_3,po:L_6,po:L_7,po:L_8,po:L_9,po:A_a,po:A_k,po:A_p,po:A_loga,po:A_aa,po:A_ak,po:A_ap,po:A_kk,po:A_kp,po:A_pp,po:A_aaa,eb:disc,eb:chiral,eb:pp_input,eb:stat
0,ma_FKFK_n2lo_FV,1.1823(18),-0.00387(68),60.170003998941574,2.5467668137697923,0.0003128511239908185,True,,-0.00180(56),0.00043(27),,,,,,,,-0.21(30),0.18(83),-0.31(79),,,,,,,,,0.00019937346072949067,6.300303533710185e-05,0.0011127872958532664,0.0014279076003376116
1,ma_FKFK_n2lo_log_logSq_sunset_FV_bijnens,1.1826(28),-0.00388(69),57.8636071996049,2.527940812709587,0.00035043926226337364,True,,-0.0014(13),-0.00118(56),0.00029(14),0.00034(16),-0.0029(14),-0.00006(10),-0.00032(17),0.00020(10),,-1.19(44),2.5(4.0),-4.3(2.5),,,,,,,,,0.0005365095091808914,0.00045762215924022683,0.002104137703035864,0.0016424910247745852
2,ma_FKFK_n2lo_alphaS_FV,1.2031(71),-0.00445(73),60.391942520729906,2.0366040964202923,0.005803412729347237,True,,-0.00158(14),0.00091(15),,,,,,,,-25.1(8.1),8(17000)e-06,4(17000)e-06,38(12),,,,,,,,0.00296476689857634,0.00019437818890241434,0.0011627811284070687,0.006286185977810922
3,ma_FKFK_n2lo_log_logSq_sunset_alphaS_FV_bijnens,1.1824(28),-0.00387(69),57.78438265438203,2.530291847347789,0.0003455161082560294,True,,-0.0014(13),-0.00119(56),0.00029(14),0.00034(16),-0.0029(14),-0.00006(10),-0.00032(17),0.00020(10),,-0.92(63),2.5(3.9),-4.3(2.5),-0.43(86),,,,,,,,0.0006398852568172497,0.0004515602900689125,0.002105991008751569,0.0015939220571208493
4,ma_FKFpi_n2lo_FV,1.1909(22),-0.00411(69),53.81353421239437,2.7863004834080414,7.155460817955702e-05,True,,-0.00198(28),-0.00032(30),,,,,,,,-0.33(26),-0.28(97),0.60(89),,,,,,,,,5.508209750216431e-06,0.0004992639144162694,0.0015707066439651727,0.0014301494119762766
5,ma_FKFpi_n2lo_log_logSq_sunset_FV_bijnens,1.1881(22),-0.00403(69),59.703834447669394,2.4901784875423485,0.00043948438646827483,True,,-0.00059(41),-0.00080(22),0.00023(12),0.00021(11),-0.0042(11),-0.00010(10),-0.00037(17),0.00014(10),,-0.05(26),-0.01(24),0.03(24),,,,,,,,,0.00034133256552739636,0.0007952093985674505,0.0014008827132297019,0.001494654291064851
6,ma_FKFpi_n2lo_alphaS_FV,1.2173(80),-0.00485(75),59.06780691464236,1.9405681357044853,0.009645336453833996,True,,-0.0012(11),0.00143(69),,,,,,,,-28.9(8.2),-1.9(4.0),4.3(2.5),44(13),,,,,,,,0.0030781662548720885,0.0012012257507334227,0.0007819495021685593,0.007236591114780281
7,ma_FKFpi_n2lo_log_logSq_sunset_alphaS_FV_bijnens,1.2069(67),-0.00456(73),60.011603171798974,1.987711200889048,0.0075307966080776015,True,,-0.00070(48),-0.00039(41),0.00024(12),0.00021(11),-0.0037(13),-0.00010(10),-0.00036(17),0.00014(10),,-19.8(6.6),-0.15(71),0.31(62),30(10),,,,,,,,0.0027339611777917176,0.0009621534221051904,0.0014343589541503815,0.00591135781787546
8,ma_FpiFpi_n2lo_FV,1.1910(24),-0.00411(69),56.89640946678377,2.8054518950287823,6.344224836956834e-05,True,,-0.0016(14),0.00013(40),,,,,,,,0.56(22),-1.3(2.6),3.1(1.5),,,,,,,,,0.0003617587320823125,0.0005162680408964268,0.001229547879629835,0.001972470481501592
9,ma_FpiFpi_n2lo_log_logSq_sunset_FV_bijnens,1.1896(27),-0.00407(69),57.59754602752072,2.652487756736071,0.00016428967314963532,True,,-0.00016(73),-0.00077(46),0.00028(14),0.00031(16),-0.0041(13),-0.00006(10),-0.00035(17),0.00020(10),,0.59(21),-0.7(1.7),1.3(1.2),,,,,,,,,0.00036512966487577727,0.000455876319289653,0.0014302296206968115,0.0021398251227063405
10,ma_FpiFpi_n2lo_alphaS_FV,1.2211(84),-0.00495(75),59.22898539767005,1.8831967006185408,0.012967468862325427,True,,-0.0007(20),0.00114(53),,,,,,,,-26.8(7.4),-2.1(3.7),4.8(2.1),42(11),,,,,,,,0.003223734564754619,0.0007904304795002836,0.0006568761619095209,0.007689110523911819
11,ma_FpiFpi_n2lo_log_logSq_sunset_alphaS_FV_bijnens,1.2128(75),-0.00472(74),59.073905599938065,1.9902111408848224,0.007431838608639653,True,,-0.0002(10),-0.00028(53),0.00029(14),0.00032(16),-0.0035(14),-0.00006(10),-0.00035(17),0.00020(10),,-20.0(6.2),-0.8(2.0),1.7(1.2),31.5(9.5),,,,,,,,0.0028118891161922274,0.0005816038101068466,0.0014669793097841738,0.0067165397600786395
12,ma_FKFK_n2lo_a4_FV,1.2037(49),-0.00447(71),61.647198491782795,1.3621800997575728,0.13874170328750451,True,,0.0017(26),0.00339(88),,,,,,,,-8.9(1.8),-3.8(4.8),5.2(2.7),,133(27),,,,,,,0.00014783570391992294,0.0013222239421344444,0.0005241910033800341,0.004577259720491897
13,ma_FKFK_n2lo_log_logSq_sunset_a4_FV_bijnens,1.1903(39),-0.00409(70),56.5199890878465,2.1336788476230217,0.003421185087500273,True,,-0.0016(13),-0.00077(62),0.00030(14),0.00034(16),-0.0026(14),-0.00006(10),-0.00029(17),0.00021(10),,-5.2(1.6),2.0(3.1),-3.6(2.1),,54(21),,,,,,,0.0009163634919396396,0.0006107205680049063,0.0019502003564305192,0.003219876483651717
14,ma_FKFK_n2lo_alphaS_a4_FV,1.2012(50),-0.00440(71),63.33046241896805,1.4326386399966011,0.10471699432208027,True,,0.0016(25),0.00321(89),,,,,,,,-6.5(3.7),-3.5(4.6),5.0(2.7),-3.3(6.0),129(28),,,,,,,0.0022822702680339816,0.0012817696028145902,0.00045108336729198683,0.004143873598683379
15,ma_FKFK_n2lo_log_logSq_sunset_alphaS_a4_FV_bijnens,1.1896(40),-0.00407(70),56.5940358421819,2.1367531842981653,0.003363622586677121,True,,-0.0015(13),-0.00075(62),0.00030(14),0.00034(16),-0.0026(14),-0.00006(10),-0.00029(17),0.00021(10),,-4.0(2.6),2.0(3.1),-3.5(2.0),-2.3(4.2),57(22),,,,,,,0.00160841656859815,0.0006086099110542558,0.0019215472213642503,0.0030294768258759997
16,ma_FKFpi_n2lo_a4_FV,1.2080(48),-0.00459(72),61.90676710611352,1.3680651778569954,0.13559392548224214,True,,-0.0003(17),0.00293(94),,,,,,,,-8.1(1.9),-3.7(6.4),7.9(3.7),,118(28),,,,,,,0.0011500400914248447,0.0009278536365525695,0.00043763282714970683,0.004509645718282603
17,ma_FKFpi_n2lo_log_logSq_sunset_a4_FV_bijnens,1.1983(37),-0.00432(70),60.76657340436168,1.7131269152065811,0.030067274981081117,True,,-0.00042(69),0.00022(60),0.00024(12),0.00022(11),-0.0030(15),-0.00010(10),-0.00035(17),0.00014(10),,-5.1(1.4),-0.6(1.5),1.22(89),,70(19),,,,,,,0.0008648699972198576,0.0005708852688436673,0.000922086266594882,0.00340416046718127
18,ma_FKFpi_n2lo_alphaS_a4_FV,1.2057(48),-0.00452(71),63.447304357494886,1.4551522232901672,0.09543193220432583,True,,-0.0004(17),0.00274(91),,,,,,,,-6.2(3.2),-3.5(6.3),7.5(3.6),-2.3(5.2),113(28),,,,,,,0.0025005015489937585,0.0007355109354545067,0.0003458744202859372,0.003948110461420778
19,ma_FKFpi_n2lo_log_logSq_sunset_alphaS_a4_FV_bijnens,1.1975(38),-0.00429(70),60.74024212525445,1.7172710948834569,0.029477741337129094,True,,-0.00041(69),0.00022(60),0.00024(12),0.00022(11),-0.0030(15),-0.00010(10),-0.00035(17),0.00014(10),,-4.1(2.5),-0.6(1.5),1.24(89),-1.9(4.1),72(21),,,,,,,0.001804935097409934,0.0005701689992449884,0.0009078960022106363,0.003208736970045954
20,ma_FpiFpi_n2lo_a4_FV,1.2086(49),-0.00460(72),61.64411915631774,1.3080412552433858,0.1705155503226727,True,,0.0005(25),0.00208(69),,,,,,,,-7.3(1.9),-3.6(4.7),6.5(2.6),,107(25),,,,,,,0.001176590665914209,0.0004704816576610082,0.0009244888675012397,0.004538381328406503
21,ma_FpiFpi_n2lo_log_logSq_sunset_a4_FV_bijnens,1.2018(40),-0.00441(71),60.21440781933271,1.6451510221818184,0.04138616748891771,True,,0.0005(20),0.00017(57),0.00029(14),0.00034(16),-0.0030(15),-0.00006(10),-0.00034(17),0.00020(10),,-4.8(1.4),-1.2(2.8),2.1(1.5),,72(18),,,,,,,0.0009474889973990166,0.0003386556740914363,0.0006672386460698517,0.0038087772892549773
22,ma_FpiFpi_n2lo_alphaS_a4_FV,1.2072(51),-0.00456(72),61.487507945203454,1.3137583255675418,0.16691354083949558,True,,0.0005(25),0.00208(69),,,,,,,,-5.8(3.1),-3.6(4.7),6.6(2.6),-2.7(5.0),110(27),,,,,,,0.002607468775822365,0.0003642458709324797,0.0009577089058138043,0.004273686587569916
23,ma_FpiFpi_n2lo_log_logSq_sunset_alphaS_a4_FV_bijnens,1.2009(42),-0.00439(71),60.23759546247467,1.6729115913350512,0.03636786735504189,True,,0.0005(16),0.00013(57),0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),,-3.8(2.3),-1.2(2.2),2.1(1.2),-1.8(3.7),74(20),,,,,,,0.0019996970883920076,0.000337707545888596,0.0006736982869095296,0.003587719459341601
24,ma-ratio_FKFK_n2lo_FV,1.1837(34),-0.00391(69),55.36578950365018,2.326511244258296,0.0011504056252602762,True,,0.00087(31),-0.00258(81),,,,,,,,-3.94(99),15.5(3.2),-2.2(1.4),,,,,,,,,1.600047331107323e-06,0.0001193620000403045,0.0030174334924031377,0.0015170824213211955
25,ma-ratio_FKFK_n2lo_log_logSq_sunset_FV_bijnens,1.1840(33),-0.00391(69),55.46143157781701,2.2884399256996417,0.0014322470674038824,True,,0.00092(27),-0.00254(65),0.00028(14),0.00031(16),-0.0042(14),-0.00005(10),-0.00033(17),0.00021(10),,-3.80(81),13.4(3.6),-2.0(2.3),,,,,,,,,0.00011576711223704816,0.0005955436025133623,0.002870258291196327,0.001579809105307675
26,ma-ratio_FKFK_n2lo_alphaS_FV,1.2101(73),-0.00465(74),52.83321856724355,2.5267775488323263,0.00035290027311245194,True,,-0.000566(40),0.00158(12),,,,,,,,-25.7(8.2),0.01(22),-0.02(22),41(12),,,,,,,,0.002652504449358233,0.0006443358479837985,0.0008669864745204053,0.006723821630541035
27,ma-ratio_FKFK_n2lo_log_logSq_sunset_alphaS_FV_bijnens,1.1835(36),-0.00390(69),55.30577443175831,2.297555205302755,0.0013592713328767112,True,,0.00093(28),-0.00255(66),0.00028(14),0.00031(16),-0.0042(14),-0.00005(10),-0.00033(17),0.00021(10),,-3.2(1.8),13.4(3.6),-1.9(2.3),-0.9(2.8),,,,,,,,0.0014586567000346867,0.0006247793073396447,0.002873013095756036,0.0015425434260896301
28,ma-ratio_FKFpi_n2lo_FV,1.1913(23),-0.00412(69),53.93970282270645,2.6898498788999827,0.00013048929748938444,True,,0.00032(21),-0.00072(62),,,,,,,,-1.34(66),9.3(2.4),5.8(1.0),,,,,,,,,7.649716578815013e-05,8.780331008955531e-05,0.0018076085341644733,0.0014616109588425786
29,ma-ratio_FKFpi_n2lo_log_logSq_sunset_FV_bijnens,1.1886(24),-0.00404(69),56.565188099638966,2.4377167655869143,0.0006003369496690562,True,,0.00059(21),-0.00158(56),0.00023(12),0.00020(11),-0.0053(13),-0.00009(10),-0.00033(17),0.00015(10),,-1.55(53),5.9(2.3),2.5(1.6),,,,,,,,,0.00015321986151174268,0.0006214541672613389,0.00170800943593243,0.0015675897500162855
30,ma-ratio_FKFpi_n2lo_alphaS_FV,1.1910(25),-0.00411(69),53.856153034906036,2.7001613109545093,0.00012242267447286752,True,,0.00031(22),-0.00070(63),,,,,,,,-1.07(87),9.2(2.5),5.8(1.0),-0.4(1.2),,,,,,,,0.0008103822953526513,0.00012805093622528723,0.0017870354481898524,0.0014529917363656222
31,ma-ratio_FKFpi_n2lo_log_logSq_sunset_alphaS_FV_bijnens,1.2036(68),-0.00446(73),55.92766384058194,2.2345169183471336,0.0019471598063744442,True,,0.00026(23),-0.00087(60),0.00023(12),0.00020(11),-0.0052(13),-0.00009(10),-0.00032(17),0.00015(10),,-16.4(6.2),2.0(1.7),-0.09(1.35),23.9(9.6),,,,,,,,0.003490989870541207,0.0022815839417685405,0.0013663686586783304,0.0051746148252941855
