,name,FK/Fpi,delta_su2,logGBF,chi2/df,Q,vol,po:A_x,po:L_4,po:L_5,po:L_1,po:L_2,po:L_3,po:L_6,po:L_7,po:L_8,po:L_9,po:A_a,po:A_k,po:A_p,po:A_loga,po:A_aa,po:A_ak,po:A_ap,po:A_kk,po:A_kp,po:A_pp,eb:disc,eb:chiral,eb:pp_input,eb:stat
0,ma_FKFK_n2lo_a4_FV,1.2030(55),-0.00445(72),56.772594457866106,1.3599431115969995,0.1454154851171668,True,,0.0013(35),0.00347(97),,,,,,,,-8.7(1.9),-5.1(6.9),4.9(3.5),,132(28),,,,,,0.00017478162734017887,0.0013198319945324775,0.0005876808523034094,0.005168608531462726
1,ma_FKFK_n2lo_log_logSq_sunset_a4_FV_bijnens,1.1895(42),-0.00407(70),50.1417595739795,2.0025408522680888,0.008288984339780557,True,,-0.0010(27),-0.00065(72),0.00029(14),0.00033(16),-0.0029(15),-0.00006(10),-0.00031(17),0.00021(10),,-5.5(1.7),2.6(7.7),-2.6(4.2),,60(22),,,,,,8.550059019106752e-05,0.0007147629027078159,0.0017984288140781121,0.0037069292873378548
2,ma_FKFK_n2lo_alphaS_a4_FV,1.2044(99),-0.00449(75),55.39173956447904,1.3581614227002727,0.1463838175691013,True,,0.0012(35),0.00346(97),,,,,,,,-11(14),-5.0(6.9),4.9(3.5),4(25),126(43),,,,,,0.002371268859385043,0.0009977873458385967,0.0005604143843523466,0.009474781946075327
3,ma_FKFK_n2lo_log_logSq_sunset_alphaS_a4_FV_bijnens,1.1917(87),-0.00413(73),48.74569538121753,1.9975977977731536,0.00849861128273849,True,,-0.0010(27),-0.00066(72),0.00029(14),0.00033(16),-0.0029(15),-0.00006(10),-0.00032(17),0.00021(10),,-9(13),2.7(7.7),-2.7(4.2),7(24),50(40),,,,,,0.002131989397050153,0.0007393714545372954,0.0018421037672377149,0.008214396130161563
4,ma_FKFpi_n2lo_a4_FV,1.2101(53),-0.00465(72),55.107877568276145,1.3312176851989872,0.16166376645020925,True,,-0.0002(22),0.0032(10),,,,,,,,-8.8(2.0),-3.9(8.2),8.3(4.5),,128(30),,,,,,0.0001736265549028715,0.0008833522493127035,0.0005490281330408058,0.005051690151616285
5,ma_FKFpi_n2lo_log_logSq_sunset_a4_FV_bijnens,1.1978(41),-0.00430(70),52.49522669031239,1.6682936076120198,0.04089289843466696,True,,0.00007(282),0.00066(68),0.00024(12),0.00023(11),-0.0027(15),-0.00010(10),-0.00032(17),0.00015(10),,-5.6(1.5),-0.9(7.6),1.6(3.8),,80(21),,,,,,7.952169705899695e-05,0.0006193477426544762,0.0005969435777000914,0.004013472394741809
6,ma_FKFpi_n2lo_alphaS_a4_FV,1.212(11),-0.00469(77),53.67918823830431,1.3296083478857872,0.16261478487004313,True,,-0.0002(22),0.0031(10),,,,,,,,-11(13),-3.9(8.2),8.2(4.5),4(23),123(44),,,,,,0.002518283031697973,0.0006711045498061268,0.0005248004605024215,0.01027075565120835
7,ma_FKFpi_n2lo_log_logSq_sunset_alphaS_a4_FV_bijnens,1.2003(94),-0.00437(74),51.01693457342151,1.6631623869105718,0.0418393194899916,True,,0.00005(282),0.00065(68),0.00024(12),0.00023(11),-0.0027(15),-0.00010(10),-0.00032(17),0.00015(10),,-9(12),-0.9(7.6),1.6(3.8),6(22),71(37),,,,,,0.0021045892783767488,0.0005913381257208089,0.0006373236071905146,0.009072550707568692
8,ma_FpiFpi_n2lo_a4_FV,1.2102(54),-0.00465(72),54.63275480719169,1.2360644211654468,0.22570508584602475,True,,0.0005(35),0.00241(83),,,,,,,,-8.2(2.1),-4.6(6.7),6.9(3.5),,120(28),,,,,,0.00014475393718485976,0.00035211389372475494,0.0013220403389898655,0.005169350897756967
9,ma_FpiFpi_n2lo_log_logSq_sunset_a4_FV_bijnens,1.2017(46),-0.00441(71),51.958244567065314,1.6319578520334128,0.04802869191416143,True,,0.0005(42),0.00041(63),0.00029(14),0.00034(16),-0.0028(15),-0.00006(10),-0.00033(17),0.00020(10),,-5.3(1.5),-2.4(5.4),1.8(2.6),,80(20),,,,,,7.724636855098278e-05,0.0004200852271190683,0.0003553352227240319,0.0045521409945307725
