,name,FK/Fpi,delta_su2,logGBF,chi2/df,Q,vol,L_4,L_5,L_1,L_2,L_3,L_6,L_7,L_8,L_9,A_a,A_k,A_p,A_loga,A_aa
0,ma_FKFK_nnlo_log_logSq_sunset_bijnens,1.1770(43),-0.00372(69),27.446749391604342,2.4605236945521183,0.006146169659312024,0,-0.0015(14),-0.00112(87),0.00029(14),0.00034(16),-0.0027(15),-0.00006(10),-0.00030(17),0.00021(10),,-0.13(86),2.1(4.5),-3.4(3.3),,
1,ma_FKFK_nnlo_log_logSq_sunset,1.1800(38),-0.00380(69),29.13364158066173,2.323746690152162,0.009903184807912156,0,0.0004(48),0.00168(90),0.00002(29),0.00007(32),0.0032(25),-1(100)e-06,0.00014(33),0.00002(20),,0.15(81),1.3(4.1),-1.5(3.1),,
2,ma_FKFK_nnlo_logSq_sunset,1.1910(50),-0.00411(70),34.53989874101441,1.2889555502472263,0.22991263120860125,0,0.0042(24),0.00448(93),,,,,,,,0.25(78),-6.1(4.3),7.9(2.5),,
3,ma_FKFK_nnlo,1.1905(49),-0.00410(70),34.97706774587444,1.218835744151434,0.2726482546025761,0,0.0030(25),0.00405(97),,,,,,,,0.14(78),-5.1(4.3),7.1(2.5),,
4,ma_FKFK_nnlo_log_logSq_sunset_alphaS_bijnens,1.1768(47),-0.00371(69),27.27569779744277,2.459747893797402,0.006163000600921554,0,-0.0015(14),-0.00112(87),0.00029(14),0.00034(16),-0.0027(15),-0.00006(10),-0.00030(17),0.00021(10),,0.1(2.8),2.1(4.5),-3.4(3.3),-0.4(4.2),
5,ma_FKFK_nnlo_log_logSq_sunset_alphaS,1.1799(43),-0.00380(69),28.96120971942285,2.323399688416645,0.009915043063410631,0,0.0004(48),0.00168(90),0.00002(29),0.00007(32),0.0032(25),-1(100)e-06,0.00014(33),0.00002(20),,0.3(2.8),1.3(4.1),-1.5(3.1),-0.2(4.2),
6,ma_FKFK_nnlo_logSq_sunset_alphaS,1.1910(54),-0.00411(70),34.36616341008825,1.2887626479965126,0.2300228043847773,0,0.0042(24),0.00448(93),,,,,,,,0.1(2.8),-6.1(4.3),7.9(2.5),0.2(4.2),
7,ma_FKFK_nnlo_alphaS,1.1906(53),-0.00410(70),34.802724254280825,1.2187717856104552,0.2726897188443677,0,0.0030(25),0.00405(97),,,,,,,,0.08(2.79),-5.1(4.3),7.1(2.5),0.1(4.2),
8,ma_FKFK_nnlo_log_logSq_sunset_FV_bijnens,1.1766(45),-0.00371(69),29.24713060828172,2.0456380916357,0.02521989402908394,10,-0.0016(13),-0.00141(82),0.00029(14),0.00034(16),-0.0026(15),-0.00006(10),-0.00030(17),0.00021(10),,-0.40(88),2.6(4.6),-4.4(3.5),,
9,ma_FKFK_nnlo_log_logSq_sunset_FV,1.1797(38),-0.00379(69),30.56221051080257,2.014125195683864,0.027944636316266862,10,0.0010(48),0.00165(82),0.00002(29),0.00008(32),0.0036(25),-3(100)e-06,0.00014(33),0.00002(20),,-0.06(81),2.1(4.2),-1.3(3.0),,
