,name,FK/Fpi,delta_su2,logGBF,chi2/df,Q,vol,po:A_x,po:L_4,po:L_5,po:L_1,po:L_2,po:L_3,po:L_6,po:L_7,po:L_8,po:L_9,po:A_a,po:A_k,po:A_p,po:A_loga,po:A_aa,po:A_ak,po:A_ap,po:A_kk,po:A_kp,po:A_pp,po:A_aaa,eb:disc,eb:chiral,eb:pp_input,eb:stat
0,xpt_FKFK_n3lo_a4_FV,1.1927(47),-0.00416(70),69.15561918850615,0.8310900903346473,0.6647377799650289,True,,-0.0021(35),-0.00067(46),,,,,,,,-3.3(1.2),3.9(6.9),1.2(4.6),,7.0(2.2),0.03(9.20),-0.5(3.9),-1.6(9.6),-2.9(9.7),-9.1(8.5),,0.0008085926915842085,0.0015826578638204582,0.0017021683706376243,0.0039703331906627
1,xpt_FKFK_n3lo_log_logSq_sunset_a4_FV_bijnens,1.1949(49),-0.00422(71),69.33136797614377,0.8066965769585865,0.6945823499602263,True,,-0.0007(31),-0.00036(60),0.00029(14),0.00033(16),-0.0031(11),-0.00006(10),-0.00034(17),0.00020(10),,-3.9(1.3),0.4(7.8),1.4(5.1),,8.3(2.4),2.6(9.4),0.1(3.9),0.3(9.8),-0.9(9.7),-3.4(8.1),,0.0010318036472151935,0.0015576619687794795,0.001251732680115616,0.004383994262488857
2,xpt_FKFK_n3lo_alphaS_a4_FV,1.1935(70),-0.00418(72),68.48633886505272,0.8299262531452963,0.6661737297480428,True,,-0.0021(35),-0.00066(46),,,,,,,,-3.8(3.1),3.9(6.9),1.2(4.6),0.7(5.1),6.7(3.1),0.04(9.20),-0.5(3.9),-1.6(9.6),-2.9(9.7),-9.1(8.5),,0.003136330137649808,0.0014483427379357876,0.0017111529768817535,0.005829695300969959
3,xpt_FKFK_n3lo_log_logSq_sunset_alphaS_a4_FV_bijnens,1.1954(71),-0.00423(72),68.65518052529691,0.8062368684354513,0.695139073724617,True,,-0.0007(31),-0.00036(61),0.00029(14),0.00033(16),-0.0031(11),-0.00006(10),-0.00034(17),0.00020(10),,-4.2(3.1),0.4(7.8),1.4(5.1),0.5(5.1),8.1(3.3),2.6(9.4),0.1(3.9),0.3(9.8),-0.9(9.7),-3.4(8.1),,0.003118859111679768,0.001466058479234557,0.001258451494604191,0.006094091219323614
4,xpt_FKFpi_n3lo_a4_FV,1.1949(47),-0.00422(70),71.11676767778957,0.6714376127295004,0.8427721836290126,True,,-0.0020(35),-0.00064(66),,,,,,,,-2.4(1.5),2.4(7.0),3.6(4.2),,5.7(2.2),-1.5(9.2),-1.9(2.5),-2.1(9.4),-2.3(9.7),-12.3(6.2),,0.0008854501839867774,0.0011797309970667598,0.0014052063779855812,0.0042497527321292685
5,xpt_FKFpi_n3lo_log_logSq_sunset_a4_FV_bijnens,1.1957(46),-0.00424(70),70.75473363709484,0.6296163618317262,0.8796907828665437,True,,-0.0007(26),-0.00073(69),0.00024(12),0.00022(11),-0.0033(13),-0.00010(10),-0.00034(17),0.00014(10),,-3.0(1.6),0.2(7.9),1.6(4.6),,6.2(2.1),1.5(9.7),-1.5(2.5),0.05(9.80),-1.1(9.8),-4.7(7.1),,0.0008546731316091225,0.001455679863839265,0.0012579765485883027,0.004038079201131957
6,xpt_FKFpi_n3lo_alphaS_a4_FV,1.1964(70),-0.00426(72),70.33837840582675,0.6672234065254009,0.8467196728847592,True,,-0.0020(35),-0.00064(66),,,,,,,,-3.1(2.8),2.4(7.0),3.6(4.2),1.2(4.4),5.2(3.0),-1.4(9.2),-2.0(2.5),-2.1(9.4),-2.4(9.7),-12.2(6.3),,0.002729466506199257,0.0010978187366634414,0.001428121939630823,0.006189591712746474
7,xpt_FKFpi_n3lo_log_logSq_sunset_alphaS_a4_FV_bijnens,1.1970(69),-0.00428(72),69.98097100294653,0.6264171311170923,0.8823016115975478,True,,-0.0007(26),-0.00073(69),0.00024(12),0.00022(11),-0.0033(13),-0.00010(10),-0.00034(17),0.00014(10),,-3.6(2.9),0.2(7.9),1.5(4.6),1.1(4.4),5.7(3.0),1.6(9.7),-1.6(2.5),0.04(9.81),-1.2(9.8),-4.6(7.1),,0.002783596350419145,0.0015817875756098411,0.0012820781004628167,0.005995555122454347
8,xpt_FpiFpi_n3lo_a4_FV,1.1971(47),-0.00428(71),72.33500586945532,0.5164688064204258,0.9524749861747046,True,,-0.0014(35),-0.00026(85),,,,,,,,-2.2(1.9),0.4(7.0),5.3(3.8),,5.1(1.9),-0.03(9.48),-3.1(1.8),-0.03(9.57),-0.2(9.7),-12.3(4.5),,0.0007547502526333376,0.0013175351474753027,0.0018835724420025038,0.003982600864163686
9,xpt_FpiFpi_n3lo_log_logSq_sunset_a4_FV_bijnens,1.1976(44),-0.00429(71),71.57421149443041,0.4909525710720443,0.9633965655471272,True,,-0.0006(27),-0.00071(68),0.00029(14),0.00032(16),-0.0034(15),-0.00006(10),-0.00034(17),0.00020(10),,-2.5(1.8),-0.9(7.8),3.2(4.3),,5.2(1.7),1.5(9.2),-2.5(1.8),0.9(9.3),-0.3(9.7),-7.5(7.2),,0.0006109194226921925,0.0015552692605863606,0.0018921360491322664,0.003655709478041698
