,name,A_x,L_4,L_5,L_1,L_2,L_3,L_6,L_7,L_8,L_9,A_a,A_k,A_p,A_loga,A_aa,A_ak,A_ap,A_kk,A_kp,A_pp,A_aaa
0,xpt_FKFK_n3lo_a4_FV,,0.0000(50),0.0000(50),,,,,,,,0.0(3.2),0.000(32),0.000(32),,0.0(7.3),0.0(6.5),0.0(6.5),0.0(6.5),0.0(6.5),0.0(6.5),
1,xpt_FKFK_n3lo_log_logSq_sunset_a4_FV_bijnens,,0.0000(50),0.0000(50),0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),,0.0(4.8),0.00(40),0.00(40),,0.0(9.4),0.000(49),0.000(49),0.000(49),0.000(49),0.000(49),
2,xpt_FKFK_n3lo_alphaS_a4_FV,,0.0000(50),0.0000(50),,,,,,,,0.0(2.7),0.0(3.7),0.0(3.7),0.0(2.7),0.0(6.6),0.000(29),0.000(29),0.000(29),0.000(29),0.000(29),
3,xpt_FKFK_n3lo_log_logSq_sunset_alphaS_a4_FV_bijnens,,0.0000(50),0.0000(50),0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),,0.0(3.1),0.00(14),0.00(14),0.0(3.1),0(22),0.00(13),0.00(13),0.00(13),0.00(13),0.00(13),
4,xpt_FKFpi_n3lo_a4_FV,,0.0000(50),0.0000(50),,,,,,,,0.0(1.8),0.000(10),0.000(10),,0.0(4.3),0.0(6.5),0.0(6.5),0.0(6.5),0.0(6.5),0.0(6.5),
5,xpt_FKFpi_n3lo_log_logSq_sunset_a4_FV_bijnens,,0.0000(50),0.0000(50),0.00024(12),0.00022(11),-0.0031(15),-0.00010(10),-0.00034(17),0.00014(10),,0(12),0.00(10),0.00(10),,0.0(5.8),0.000(20),0.000(20),0.000(20),0.000(20),0.000(20),
6,xpt_FKFpi_n3lo_alphaS_a4_FV,,0.0000(50),0.0000(50),,,,,,,,0.0(1.7),0.00(23),0.00(23),0.0(1.7),0.0(4.8),0.0(8.6),0.0(8.6),0.0(8.6),0.0(8.6),0.0(8.6),
7,xpt_FKFpi_n3lo_log_logSq_sunset_alphaS_a4_FV_bijnens,,0.0000(50),0.0000(50),0.00024(12),0.00022(11),-0.0031(15),-0.00010(10),-0.00034(17),0.00014(10),,0.0(2.4),0.000(95),0.000(95),0.0(2.4),0(11),0.00(26),0.00(26),0.00(26),0.00(26),0.00(26),
8,xpt_FpiFpi_n3lo_a4_FV,,0.0000(50),0.0000(50),,,,,,,,0.0(1.0),0.0(1.0),0.0(1.0),,0.0(2.8),0(11),0(11),0(11),0(11),0(11),
9,xpt_FpiFpi_n3lo_log_logSq_sunset_a4_FV_bijnens,,0.0000(50),0.0000(50),0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),,0.0(2.5),0.0(2.2),0.0(2.2),,0.0(8.7),0.0(1.6),0.0(1.6),0.0(1.6),0.0(1.6),0.0(1.6),
