,name,FK/Fpi,delta_su2,logGBF,chi2/df,Q,vol,po:A_x,po:L_4,po:L_5,po:L_1,po:L_2,po:L_3,po:L_6,po:L_7,po:L_8,po:L_9,po:A_a,po:A_k,po:A_p,po:A_loga,po:A_aa,po:A_ak,po:A_ap,po:A_kk,po:A_kp,po:A_pp,po:A_aaa,eb:disc,eb:chiral,eb:pp_input,eb:stat
0,xpt_FKFK_n3lo_a4_FV,1.1927(40),-0.00416(70),71.15239661760349,0.9885532738290056,0.4693017192578534,True,,-0.00378(52),-0.00057(13),,,,,,,,-3.14(84),0.0002(320),-0.0002(320),,6.9(1.8),-1.2(6.0),-0.4(3.1),-0.1(6.3),-3.2(6.0),-7.4(4.8),,0.0008395671013739759,0.0011202230929221982,0.0016359479300289436,0.0033865607502883113
1,xpt_FKFK_n3lo_log_logSq_sunset_a4_FV_bijnens,1.1940(33),-0.00420(70),72.45932340729888,0.8543929643218018,0.6357952520183315,True,,-0.00093(65),-0.00050(12),0.00029(14),0.00033(16),-0.00331(86),-0.00006(10),-0.00034(17),0.00020(10),,-3.50(44),0.004(399),-0.004(398),,8.2(1.7),0.0001(490),0.0002(490),0.00002(4900),-0.00003(4900),-0.0001(490),,0.0005394422842455402,0.0004350489102842928,0.0013334488833913831,0.002893542979013541
2,xpt_FKFK_n3lo_alphaS_a4_FV,1.1911(45),-0.00411(70),71.07186912405197,1.0828249582559202,0.3622008545778048,True,,-0.0036(17),-0.00092(30),,,,,,,,-2.8(1.3),2.4(3.3),-2.7(2.2),-0.8(2.2),6.2(2.1),-0.0001(290),-0.0002(290),-0.00002(2900),-0.00009(2900),-0.0002(290),,0.002368304423670169,0.0008547418811926381,0.0019347756883236397,0.0031352993296803445
3,xpt_FKFK_n3lo_log_logSq_sunset_alphaS_a4_FV_bijnens,1.1930(41),-0.00417(70),71.88934133181459,0.8492959381114364,0.6421528652899481,True,,-0.00090(64),-0.00051(10),0.00029(14),0.00033(16),-0.00334(86),-0.00006(10),-0.00034(17),0.00020(10),,-2.9(1.4),0.0003(1400),-4e-06 +- 0.14,-1.2(2.5),8.8(2.1),0.0003(1300),0.002(130),0.0001(1300),-0.0002(1300),-0.0009(1300),,0.002450994313849855,0.0004217027861863968,0.0013175917906152995,0.0029456996225442392
4,xpt_FKFpi_n3lo_a4_FV,1.1921(40),-0.00414(70),74.07052223347098,0.897649339111735,0.5815431918157627,True,,-0.00413(60),-0.00109(24),,,,,,,,-1.61(83),7(10000)e-06,3(10000)e-06,,4.1(1.6),-4.5(5.4),-2.2(2.1),-1.1(5.8),-1.4(6.0),-8.0(4.1),,0.0012152444692342444,0.0011996796645299616,0.0017646666466511515,0.003146378491191169
5,xpt_FKFpi_n3lo_log_logSq_sunset_a4_FV_bijnens,1.1967(31),-0.00427(70),73.8760704150002,0.7264580957487596,0.7870236810050623,True,,-0.00054(44),-0.00091(11),0.00024(12),0.00021(11),-0.00407(75),-0.00010(10),-0.00035(17),0.00014(10),,-2.84(36),-0.0007(1000),0.001(100),,6.2(1.4),-0.00001(2000),-0.0001(200),-8(20000)e-06,-6(20000)e-06,-0.00003(2000),,0.0006059020975343632,0.000226400044092019,0.0012935938008342724,0.002747976746965109
6,xpt_FKFpi_n3lo_alphaS_a4_FV,1.1919(44),-0.00414(70),73.81415440697545,0.8276520956953002,0.6689764968592239,True,,-0.00416(76),-0.00110(28),,,,,,,,-1.3(1.1),0.002(230),0.005(229),-0.2(1.5),4.5(1.8),-6.1(6.7),-1.9(2.3),-1.5(7.2),-0.8(7.7),-9.4(4.8),,0.0019636202852883,0.0012919213418711726,0.0017590486218703426,0.0033270376587227497
7,xpt_FKFpi_n3lo_log_logSq_sunset_alphaS_a4_FV_bijnens,1.1958(39),-0.00425(70),74.453634948371,0.7460963781432437,0.7654379087747301,True,,-0.00051(45),-0.00092(11),0.00024(12),0.00021(11),-0.00411(76),-0.00010(10),-0.00035(17),0.00014(10),,-2.4(1.1),-0.0008(950),0.002(95),-0.8(2.0),6.6(1.8),-0.006(260),-0.02(26),-0.002(260),-0.0005(2600),-0.005(260),,0.002290406148237684,0.00038127613157216267,0.0012798338687792662,0.002798232988867902
8,xpt_FpiFpi_n3lo_a4_FV,1.1932(44),-0.00417(70),75.311908780885,0.7222060070710069,0.7915903723644442,True,,-0.0044(14),-0.00145(51),,,,,,,,-0.14(88),-0.10(99),0.40(95),,2.9(1.4),-8.2(4.9),-4.6(1.5),-6.7(7.1),7.4(9.1),-14.2(4.1),,0.0014031707355126044,0.0008392810659258064,0.002924310266362045,0.0028965596208192284
9,xpt_FpiFpi_n3lo_log_logSq_sunset_a4_FV_bijnens,1.2009(36),-0.00439(70),73.97647295982769,0.7299435966119587,0.7832509854728387,True,,-0.00018(82),-0.00072(49),0.00028(14),0.00031(16),-0.0042(14),-0.00006(10),-0.00036(17),0.00020(10),,-2.56(44),-0.9(2.0),1.9(1.3),,6.3(1.4),-0.04(1.58),-1.0(1.2),-0.03(1.59),0.1(1.6),-0.3(1.6),,0.0005641998015673322,0.0011598233196075545,0.0015559526042089355,0.002945842108757516
