,name,FK/Fpi,delta_su2,logGBF,chi2/df,Q,vol,L_4,L_5,L_1,L_2,L_3,L_6,L_7,L_8,L_9,A_a,A_k,A_p,A_loga,A_aa
0,ma_FKFK_nnlo_log_logSq_sunset_bijnens,1.1771(24),-0.00372(68),29.69245836354736,2.5482384771956905,0.004502401537373742,0,-0.0014(13),-0.00059(79),0.00030(14),0.00035(16),-0.0025(14),-0.00006(10),-0.00029(17),0.00021(10),,0.0003(598),1.2(2.5),-2.0(2.0),,
1,ma_FKFK_nnlo_log_logSq_sunset,1.1804(18),-0.00381(68),31.453272635598445,2.374173927040056,0.008316206900673133,0,0.0007(49),0.00148(65),0.00002(29),0.00006(33),0.0024(23),-3(100)e-06,0.00020(32),0.00004(20),,3(2900)e-06,0.8(1.9),-1.0(1.6),,
2,ma_FKFK_nnlo_logSq_sunset,1.1864(32),-0.00398(69),34.20941158831704,1.8544149963759151,0.046449572286809335,0,0.0022(18),0.00273(88),,,,,,,,9(8400)e-06,-3.0(2.6),5.2(2.1),,
3,ma_FKFK_nnlo,1.1806(28),-0.00382(68),33.33047179693989,1.9796605044497413,0.031236227938482988,0,-0.00180(21),0.00043(14),,,,,,,,-0.05(44),-7e-09 +- 0.00017,2e-08 +- 0.00017,,
4,ma_FKFK_nnlo_log_logSq_sunset_alphaS_bijnens,1.1770(24),-0.00372(68),29.61463056084777,2.5326409660569054,0.00475996474536866,0,-0.0014(13),-0.00068(80),0.00029(14),0.00034(16),-0.0026(15),-0.00006(10),-0.00029(17),0.00021(10),,2e-07 +- 0.0023,1.3(2.8),-2.2(2.2),8e-09 +- 0.0023,
5,ma_FKFK_nnlo_log_logSq_sunset_alphaS,1.1804(18),-0.00381(68),31.45317942861755,2.3741722340483262,0.00831625586635228,0,0.0007(49),0.00148(65),0.00002(29),0.00006(33),0.0024(23),-3(100)e-06,0.00020(32),0.00004(20),,0.00004(1000),0.8(1.9),-1.0(1.6),0.00002(1000),
6,ma_FKFK_nnlo_logSq_sunset_alphaS,1.1859(31),-0.00397(69),34.06523315366855,1.8870061783243883,0.041944473648312317,0,0.0020(17),0.00257(87),,,,,,,,0.00003(1800),-2.8(2.6),4.9(2.1),0.00002(1800),
7,ma_FKFK_nnlo_alphaS,1.1806(27),-0.00382(68),33.33288122000452,1.9796623913032687,0.031236038285160063,0,-0.00180(21),0.00043(14),,,,,,,,-0.04(39),-0.00009(2000),0.0002(200),-0.02(42),
8,ma_FKFK_nnlo_log_logSq_sunset_FV_bijnens,1.1757(25),-0.00368(68),31.25077649496263,2.189196134038336,0.015664549497383776,10,-0.0015(12),-0.00079(75),0.00030(14),0.00035(16),-0.0025(14),-0.00006(10),-0.00029(17),0.00021(10),,-5(14000)e-07,1.4(2.5),-2.4(2.1),,
9,ma_FKFK_nnlo_log_logSq_sunset_FV,1.1793(17),-0.00378(68),32.873919057114236,2.0860020699551143,0.022091074907154784,10,0.0011(49),0.00149(58),0.00002(29),0.00007(33),0.0025(22),-4(100)e-06,0.00023(32),0.00004(20),,0.00004(1800),0.8(1.7),-0.9(1.4),,
10,ma_FKFK_nnlo_logSq_sunset_FV,1.1820(27),-0.00386(68),34.699397912732216,1.7616611049990405,0.06178565349636012,10,0.0007(15),0.00161(77),,,,,,,,-0.00009(1899),-1.6(2.1),3.1(1.9),,
11,ma_FKFK_nnlo_FV,1.1800(22),-0.00380(68),35.47859318080192,1.5884078255990313,0.10299922606249427,10,-0.00138(86),0.00070(45),,,,,,,,-5(3100)e-06,-0.3(1.2),0.8(1.2),,
12,ma_FKFK_nnlo_log_logSq_sunset_alphaS_FV_bijnens,1.1757(25),-0.00368(68),31.250766489057497,2.1891960400635297,0.015664554451999442,10,-0.0015(12),-0.00079(75),0.00030(14),0.00035(16),-0.0025(14),-0.00006(10),-0.00029(17),0.00021(10),,-3(3400)e-06,1.4(2.5),-2.4(2.1),-2(3400)e-06,
13,ma_FKFK_nnlo_log_logSq_sunset_alphaS_FV,1.1793(17),-0.00378(68),32.87416098024677,2.0860024410220883,0.0220910478891152,10,0.0011(49),0.00149(58),0.00002(29),0.00007(33),0.0025(22),-4(100)e-06,0.00023(32),0.00004(20),,7(25000)e-07,0.8(1.7),-0.9(1.4),3(25000)e-07,
14,ma_FKFK_nnlo_logSq_sunset_alphaS_FV,1.1820(27),-0.00386(68),34.69957998225261,1.7616625930200065,0.061785374538933936,10,0.0007(15),0.00161(77),,,,,,,,-0.00002(930),-1.6(2.1),3.1(1.9),-0.00001(930),
15,ma_FKFK_nnlo_alphaS_FV,1.1800(22),-0.00380(68),35.47859664636032,1.5884079633522328,0.10299918547383456,10,-0.00138(86),0.00070(45),,,,,,,,-1(1700)e-06,-0.3(1.2),0.8(1.2),-9(17000)e-07,
16,ma_FKFpi_nnlo_log_logSq_sunset_bijnens,1.1860(30),-0.00397(69),31.581346385415397,2.1207752691041826,0.01969057708503675,0,-0.00085(55),-0.00079(37),0.00024(12),0.00022(11),-0.0035(14),-0.00010(10),-0.00034(17),0.00014(10),,0.29(45),-0.14(77),0.30(74),,
17,ma_FKFpi_nnlo_log_logSq_sunset,1.1858(31),-0.00396(69),33.69016299906038,1.7505456844619882,0.0639013268003555,0,0.0010(48),0.00212(54),0.00001(24),0.00002(22),0.0027(22),6(100)e-06,0.00004(33),4(139)e-06,,0.20(52),-0.7(1.7),0.7(1.6),,
