,name,FK/Fpi,delta_su2,logGBF,chi2/df,Q,vol,L_4,L_5,L_1,L_2,L_3,L_6,L_7,L_8,L_9,A_a,A_k,A_p,A_loga,A_aa
0,ma_FKFK_nnlo_log_logSq_sunset_bijnens,1.1789(28),-0.00377(68),54.37987974421547,2.025802935456817,0.007366151888541133,0,-0.0012(12),-0.00083(55),0.00029(14),0.00034(16),-0.0030(14),-0.00006(10),-0.00031(17),0.00020(10),,-0.14(50),1.6(2.7),-2.9(1.9),,
1,ma_FKFK_nnlo_log_logSq_sunset_a4_bijnens,1.1833(50),-0.00389(70),51.53262354854425,1.980962633747818,0.009241257639665473,0,-0.0012(12),-0.00055(59),0.00029(14),0.00034(16),-0.0028(14),-0.00006(10),-0.00030(17),0.00021(10),,-2.4(2.1),1.3(2.3),-2.4(1.6),,30(26)
2,ma_FKFK_nnlo_log_logSq_sunset,1.1792(27),-0.00378(68),54.68116371671209,2.06490489707966,0.006029571917398714,0,-0.0021(21),-0.00032(84),7(290)e-06,9(328)e-06,-0.0007(26),4(1000)e-07,0.00015(32),0.00002(20),,0.03(49),0.9(1.7),-1.6(1.3),,
3,ma_FKFK_nnlo_log_logSq_sunset_a4,1.1848(51),-0.00394(70),52.31305743247822,2.001126102276689,0.008348479600534144,0,-0.0021(24),0.00008(96),0.00001(29),0.00003(33),-0.0004(26),-1(1000)e-07,0.00027(30),0.00005(20),,-2.7(2.1),0.6(1.1),-0.97(94),,37(27)
4,ma_FKFK_nnlo_logSq_sunset,1.1777(20),-0.00374(68),55.830107622912685,2.068338748363573,0.005923848866244225,0,-0.00110(14),0.000328(87),,,,,,,,0.72(27),0.0002(310),-0.0003(310),,
5,ma_FKFK_nnlo_logSq_sunset_a4,1.1873(50),-0.00401(70),54.36415081224443,1.8149771252035918,0.020800965851829632,0,-0.00100(15),0.00054(13),,,,,,,,-3.7(2.1),-0.00002(1600),0.00005(1600),,54(26)
6,ma_FKFK_nnlo,1.1796(20),-0.00379(68),57.23173280137789,1.9015210274127041,0.013704345849214731,0,-0.00170(14),0.000468(87),,,,,,,,0.54(27),1e-11 +- 1e-05,-2e-11 +- 1e-05,,
7,ma_FKFK_nnlo_a4,1.1919(57),-0.00414(71),56.02615022881852,1.591383902679698,0.0572874613130579,0,-0.0005(17),0.00144(80),,,,,,,,-4.7(2.3),-0.8(2.8),1.9(2.2),,71(30)
8,ma_FKFK_nnlo_log_logSq_sunset_alphaS_bijnens,1.185(14),-0.00395(79),53.14363170284429,2.00494065472379,0.008188974958955961,0,-0.0013(12),-0.00078(60),0.00029(14),0.00034(16),-0.0030(14),-0.00006(10),-0.00031(17),0.00020(10),,-8(17),1.7(2.9),-3.0(1.9),11(25),
9,ma_FKFK_nnlo_log_logSq_sunset_alphaS_a4_bijnens,1.169(17),-0.00348(83),50.88138030442186,1.980904358668216,0.009243963165916537,0,-0.0010(11),-0.00050(58),0.00029(14),0.00034(16),-0.0028(14),-0.00006(10),-0.00029(17),0.00021(10),,18(24),0.9(1.8),-1.7(1.4),-34(39),60(42)
10,ma_FKFK_nnlo_log_logSq_sunset_alphaS,1.187(14),-0.00400(80),53.554678154009,2.034665803246643,0.0070407267024345625,0,-0.0022(23),-0.00024(93),7(290)e-06,0.00001(33),-0.0006(26),3(1000)e-07,0.00016(32),0.00002(20),,-9(17),1.0(1.8),-1.8(1.4),14(25),
11,ma_FKFK_nnlo_log_logSq_sunset_alphaS_a4,1.165(16),-0.00337(80),51.80687216680882,1.9926070815490224,0.00871530739201463,0,-0.0017(21),0.00012(98),0.00002(29),0.00003(33),-0.0003(27),-2(1000)e-07,0.00032(28),0.00006(20),,25(21),0.004(94),-0.007(94),-47(35),78(39)
12,ma_FKFK_nnlo_logSq_sunset_alphaS,1.202(16),-0.00442(83),55.7239478144557,1.9335456803960227,0.011705884850434051,0,-0.00106(15),0.00075(29),,,,,,,,-27(18),0.0001(620),-0.00002(6198),42(27),
13,ma_FKFK_nnlo_logSq_sunset_alphaS_a4,1.186(19),-0.00396(87),53.480987486036476,1.8143708307900075,0.02086089877347537,0,-0.00099(23),0.00051(34),,,,,,,,-2(25),-0.005(250),0.01(25),-4(41),57(40)
14,ma_FKFK_nnlo_alphaS,1.205(16),-0.00450(83),57.25505120000824,1.7527770791306738,0.027845174258724688,0,-0.00164(15),0.00091(30),,,,,,,,-29(18),-1e-12 +- 1e-05,1e-11 +- 1e-05,44(27),
15,ma_FKFK_nnlo_alphaS_a4,1.192(20),-0.00414(88),55.142516200262,1.5913720805524378,0.0572903739459265,0,-0.0005(17),0.00144(85),,,,,,,,-5(25),-0.8(2.8),1.9(2.2),0.6(41.3),71(42)
