,name,FK/Fpi,delta_su2,logGBF,chi2/df,Q,vol,L_4,L_5,L_1,L_2,L_3,L_6,L_7,L_8,L_9,A_a,A_k,A_p,A_loga,A_aa
0,ma_FKFK_nnlo_log_logSq_sunset_a4_bijnens,1.1833(50),-0.00389(70),51.53262354854425,1.980962633747818,0.009241257639665473,0,-0.0012(12),-0.00055(59),0.00029(14),0.00034(16),-0.0028(14),-0.00006(10),-0.00030(17),0.00021(10),,-2.4(2.1),1.3(2.3),-2.4(1.6),,30(26)
1,ma_FKFK_nnlo_log_logSq_sunset_a4,1.1848(51),-0.00394(70),52.31305743247822,2.001126102276689,0.008348479600534144,0,-0.0021(24),0.00008(96),0.00001(29),0.00003(33),-0.0004(26),-1(1000)e-07,0.00027(30),0.00005(20),,-2.7(2.1),0.6(1.1),-0.97(94),,37(27)
2,ma_FKFK_nnlo_logSq_sunset_a4,1.1873(50),-0.00401(70),54.36415081224443,1.8149771252035918,0.020800965851829632,0,-0.00100(15),0.00054(13),,,,,,,,-3.7(2.1),-0.00002(1600),0.00005(1600),,54(26)
3,ma_FKFK_nnlo_a4,1.1919(57),-0.00414(71),56.02615022881852,1.591383902679698,0.0572874613130579,0,-0.0005(17),0.00144(80),,,,,,,,-4.7(2.3),-0.8(2.8),1.9(2.2),,71(30)
4,ma_FKFK_nnlo_log_logSq_sunset_alphaS_a4_bijnens,1.169(17),-0.00348(83),50.88138030442186,1.980904358668216,0.009243963165916537,0,-0.0010(11),-0.00050(58),0.00029(14),0.00034(16),-0.0028(14),-0.00006(10),-0.00029(17),0.00021(10),,18(24),0.9(1.8),-1.7(1.4),-34(39),60(42)
5,ma_FKFK_nnlo_log_logSq_sunset_alphaS_a4,1.165(16),-0.00337(80),51.80687216680882,1.9926070815490224,0.00871530739201463,0,-0.0017(21),0.00012(98),0.00002(29),0.00003(33),-0.0003(27),-2(1000)e-07,0.00032(28),0.00006(20),,25(21),0.004(94),-0.007(94),-47(35),78(39)
6,ma_FKFK_nnlo_logSq_sunset_alphaS_a4,1.186(19),-0.00396(87),53.480987486036476,1.8143708307900075,0.02086089877347537,0,-0.00099(23),0.00051(34),,,,,,,,-2(25),-0.005(250),0.01(25),-4(41),57(40)
7,ma_FKFK_nnlo_alphaS_a4,1.192(20),-0.00414(88),55.142516200262,1.5913720805524378,0.0572903739459265,0,-0.0005(17),0.00144(85),,,,,,,,-5(25),-0.8(2.8),1.9(2.2),0.6(41.3),71(42)
8,ma_FKFK_nnlo_log_logSq_sunset_a4_FV_bijnens,1.1829(52),-0.00388(70),53.56131686892601,1.6418953394712914,0.045974385329441037,10,-0.0014(12),-0.00101(59),0.00029(14),0.00034(16),-0.0029(14),-0.00006(10),-0.00031(17),0.00020(10),,-2.2(2.1),2.1(3.4),-3.7(2.2),,20(27)
9,ma_FKFK_nnlo_log_logSq_sunset_a4_FV,1.1844(52),-0.00393(70),54.24246903136732,1.6691511215475745,0.040736621447524525,10,-0.0027(24),-0.00028(90),0.00001(29),0.00003(33),-0.0001(26),4(1000)e-07,0.00020(32),0.00003(20),,-2.6(2.2),1.2(1.9),-1.9(1.5),,27(27)
10,ma_FKFK_nnlo_logSq_sunset_a4_FV,1.1868(50),-0.00399(70),55.947453093661956,1.620350197594666,0.05053134799104871,10,-0.00099(15),0.00053(14),,,,,,,,-3.7(2.1),-0.0002(620),0.0005(620),,52(26)
