,name,FK/Fpi,delta_su2,logGBF,chi2/df,Q,vol,L_4,L_5,L_1,L_2,L_3,L_6,L_7,L_8,L_9,A_a,A_k,A_p,A_loga,A_aa
0,ma_FpiFpi_nnlo_log_logSq_sunset_a4_bijnens,1.1957(53),-0.00424(71),53.193825732018674,1.6828233902805363,0.03831630952147764,0,0.0004(14),-0.00006(57),0.00029(14),0.00033(16),-0.0034(14),-0.00006(10),-0.00034(17),0.00020(10),,-2.6(1.8),-1.1(2.2),2.1(1.2),,49(23)
1,ma_FpiFpi_nnlo_log_logSq_sunset_a4,1.1968(54),-0.00427(71),53.58408459991345,1.7023286525729426,0.035087248232399726,0,0.0004(36),0.00077(97),-2(290)e-06,4(329)e-06,-0.0001(29),6(999)e-07,-0.00004(33),-0.00001(20),,-3.1(1.8),-1.4(2.0),2.5(1.2),,55(23)
2,ma_FpiFpi_nnlo_logSq_sunset_a4,1.2015(62),-0.00440(72),54.17500107255255,1.495062564243481,0.08577676902212683,0,0.0002(21),0.00119(67),,,,,,,,-4.6(2.3),-2.6(3.8),5.1(2.2),,76(29)
3,ma_FpiFpi_nnlo_a4,1.2039(63),-0.00447(72),54.06183335396182,1.4674513273383647,0.09590962346633987,0,0.0001(23),0.00170(69),,,,,,,,-5.3(2.3),-3.1(4.4),6.0(2.5),,84(30)
4,ma_FpiFpi_nnlo_log_logSq_sunset_alphaS_a4_bijnens,1.197(21),-0.00428(92),52.10771917345431,1.6825691978812816,0.03836010142529787,0,0.0004(14),-0.00006(58),0.00029(14),0.00033(16),-0.0034(14),-0.00006(10),-0.00034(17),0.00020(10),,-4(20),-1.1(2.2),2.1(1.2),2(33),47(36)
5,ma_FpiFpi_nnlo_log_logSq_sunset_alphaS_a4,1.199(21),-0.00435(92),52.52438627442767,1.7073131828578694,0.034302488923420874,0,0.0004(37),0.00080(96),-2(290)e-06,5(329)e-06,-0.00005(287),7(998)e-07,-0.00004(33),-0.00002(20),,-6(20),-1.4(1.9),2.5(1.2),4(33),52(36)
6,ma_FpiFpi_nnlo_logSq_sunset_alphaS_a4,1.208(24),-0.00459(96),53.181587470539064,1.4824966186291029,0.09026918672885197,0,0.0002(21),0.00127(71),,,,,,,,-11(22),-2.7(4.0),5.1(2.3),10(36),69(39)
7,ma_FpiFpi_nnlo_alphaS_a4,1.210(24),-0.00464(97),53.06963792548793,1.4601782907863503,0.09874140175856816,0,0.0001(24),0.00176(73),,,,,,,,-11(22),-3.1(4.4),6.0(2.5),9(36),78(40)
8,ma_FpiFpi_nnlo_log_logSq_sunset_a4_FV_bijnens,1.1949(52),-0.00422(71),56.91278158781931,1.276531724341622,0.1964913699432896,10,-0.00024(99),-0.00043(55),0.00029(14),0.00033(16),-0.0035(14),-0.00006(10),-0.00035(17),0.00020(10),,-1.8(1.7),-0.8(2.0),1.7(1.2),,35(22)
9,ma_FpiFpi_nnlo_log_logSq_sunset_a4_FV,1.1958(53),-0.00425(71),56.93783143398592,1.2786610730687225,0.19503652970005256,10,-0.0009(24),0.0003(10),-3(290)e-06,3(329)e-06,-0.0004(28),-3(1000)e-07,-0.00004(33),-0.00001(20),,-2.3(1.8),-1.1(2.6),2.6(1.4),,42(23)
