,name,FK/Fpi,delta_su2,logGBF,chi2/df,Q,vol,po:A_x,po:L_4,po:L_5,po:L_1,po:L_2,po:L_3,po:L_6,po:L_7,po:L_8,po:L_9,po:A_a,po:A_k,po:A_p,po:A_loga,po:A_aa,po:A_ak,po:A_ap,po:A_kk,po:A_kp,po:A_pp,po:A_aaa,eb:disc,eb:chiral,eb:pp_input,eb:stat
0,poly_FKFK_nlo,1.1534(17),-0.00306(66),-441.3915801295491,58.65319424390393,8.443932546930498e-213,False,1.2956(85),,,,,,,,,,-4.55(18),,,,,,,,,,,1.6622146221906028e-06,8.556500301221288e-06,0.0013968347832810678,0.001006468502026589
1,poly_FKFpi_nlo,1.1640(16),-0.00335(67),-277.43674189876543,40.597828382351615,1.672298702534608e-143,False,1.1596(69),,,,,,,,,,-3.82(15),,,,,,,,,,,1.3107095524985423e-06,6.704345701947053e-06,0.001268783249957858,0.0009736320280432637
2,poly_FpiFpi_nlo,1.1749(24),-0.00366(68),-113.8264572652912,22.603955534205518,3.374970369012526e-75,False,1.0353(55),,,,,,,,,,-3.17(12),,,,,,,,,,,1.0032149795449577e-06,5.089898277413365e-06,0.0021619355917549678,0.0009271154006344086
3,poly_FKFK_nlo_a4,1.1462(30),-0.00285(66),-441.2211724502757,58.18075708596236,5.560221176322084e-211,False,1.234(23),,,,,,,,,,-0.6(1.4),,,,-49(17),,,,,,,5.5171859411995715e-05,6.0728587854469826e-05,0.0013307877307854679,0.00268021293440934
4,poly_FKFpi_nlo_a4,1.1587(28),-0.00321(67),-279.297760105311,40.327507703665965,1.8061603346350926e-142,False,1.122(18),,,,,,,,,,-1.4(1.1),,,,-30(14),,,,,,,4.240602494933437e-05,4.6716571805886655e-05,0.0012280921183906108,0.0025694423593112105
5,poly_FpiFpi_nlo_a4,1.1723(32),-0.00359(68),-117.70115022722288,22.531365984209188,6.322348501143886e-75,False,1.020(14),,,,,,,,,,-2.18(87),,,,-12(11),,,,,,,3.142571663544781e-05,3.466816534622412e-05,0.0021302414800763747,0.002419221394906457
6,poly_FKFK_nlo_a4_a6,1.1550(43),-0.00310(67),-437.2546582962052,57.700344504200274,3.9273992665346874e-209,False,1.309(34),,,,,,,,,,-8.1(2.9),,,,132(64),,,,,,-20786(7021),0.0021302991472743433,0.00013738890200610664,0.0014117285519135929,0.003422073854660851
7,poly_FKFpi_nlo_a4_a6,1.1663(43),-0.00342(68),-276.914160191002,40.00965921527896,2.9627839258138116e-141,False,1.176(29),,,,,,,,,,-6.8(2.5),,,,100(56),,,,,,-14966(6213),0.0019822476289455973,0.00011754616587595456,0.0012870945412339614,0.0035608316976270993
8,poly_FpiFpi_nlo_a4_a6,1.1773(46),-0.00373(69),-117.1270303362266,22.397407590835552,2.0130862052185636e-74,False,1.050(24),,,,,,,,,,-5.2(2.1),,,,60(47),,,,,,-8300(5310),0.0017241467113459305,9.607280120982964e-05,0.002192548149896919,0.0036392380175271953
9,poly_FKFK_n2lo,1.1742(33),-0.00364(68),44.65105895280297,3.958492261229714,2.7706390889606678e-08,False,0.14(38),,,,,,,,,,-5.81(51),11.0(3.0),-8.15(97),,,,,,,,,2.009665995706536e-06,3.5814564749214414e-05,0.0030176333465110647,0.0012471729287511298
10,poly_FKFpi_n2lo,1.1828(28),-0.00388(69),55.64684513938055,2.9592494555686937,2.3858457330837023e-05,False,0.31(24),,,,,,,,,,-4.52(27),6.7(1.7),-4.01(29),,,,,,,,,2.6100602160416197e-06,0.00018745227230492395,0.0024829950809549853,0.0012477555775906517
11,poly_FpiFpi_n2lo,1.1884(36),-0.00404(69),60.00159637669837,2.631787942927334,0.00018654053838816599,False,0.61(15),,,,,,,,,,-3.38(14),2.87(85),-1.542(76),,,,,,,,,1.5688178233339985e-06,0.0001385755437454098,0.003376706997569457,0.0012641522778021929
12,poly_FKFK_n2lo_a4,1.1800(44),-0.00380(69),42.480836120760756,3.8309564175546735,6.778766395331582e-08,False,0.84(50),,,,,,,,,,-8.1(1.5),5.8(3.8),-6.6(1.2),,39(23),,,,,,,9.670299171167854e-05,0.0014664731671683974,0.0023722475361544425,0.003400593317085918
13,poly_FKFpi_n2lo_a4,1.1867(37),-0.00399(69),52.33903347727186,2.860648403576307,4.4767657119641246e-05,False,0.79(36),,,,,,,,,,-6.4(1.3),3.7(2.3),-3.58(37),,28(19),,,,,,,6.766166744960977e-05,0.0007190251194818107,0.002023701279714325,0.003054879277336042
14,poly_FpiFpi_n2lo_a4,1.1930(39),-0.00417(70),56.73575842981866,2.4167346140977424,0.0006794895519548267,False,1.02(24),,,,,,,,,,-5.6(1.1),0.8(1.3),-1.627(94),,31(15),,,,,,,4.827683884103719e-05,0.0003449824387048825,0.00263817667698594,0.0028105498672120212
15,poly_FKFK_n2lo_a4_a6,1.1778(51),-0.00374(69),42.498146971673506,3.793963611593129,8.774092216829736e-08,False,0.86(50),,,,,,,,,,-6.1(2.9),5.5(3.8),-6.5(1.2),,-10(65),,,,,,5831(7138),0.0019601845714162505,0.0013836123977230214,0.002311698369161589,0.003909839324262271
16,poly_FKFpi_n2lo_a4_a6,1.1849(46),-0.00394(70),52.049502327225895,2.836958453688608,5.201082991078251e-05,False,0.82(37),,,,,,,,,,-5.0(2.5),3.5(2.4),-3.55(37),,-5(55),,,,,,4058(6221),0.0017461116581108087,0.0005851501154752204,0.001966056190552092,0.0037739034579674564
17,poly_FpiFpi_n2lo_a4_a6,1.1916(48),-0.00413(70),56.16462654884244,2.403422250498512,0.0007348388129464938,False,1.04(25),,,,,,,,,,-4.8(2.1),0.6(1.3),-1.636(96),,9(47),,,,,,2654(5436),0.0016200826811886572,0.0002115651672472236,0.002559673056983925,0.003770205576170839
18,poly_FKFK_n3lo_a4,1.1939(54),-0.00419(71),50.31198318395997,2.25823515694226,0.0017019201932331454,False,1.42(62),,,,,,,,,,-23(11),6.9(8.0),-2.6(7.2),,72(27),95(87),-5(29),-37(39),-44(61),55(20),,0.0002460891168975455,0.002093038627060106,0.0013021641829178588,0.004850108399921649
19,poly_FKFpi_n3lo_a4,1.1991(55),-0.00434(71),52.296200694367506,1.8932727282820352,0.012315859162702609,False,1.22(66),,,,,,,,,,-26(13),8.1(7.8),3.1(7.3),,72(25),104(85),3(16),-42(32),-55(51),32(11),,0.00026401988306253,0.0022020717541321017,0.0005711797311896813,0.0050261403964977575
20,poly_FpiFpi_n3lo_a4,1.2017(61),-0.00441(72),52.56706701906366,1.6441445611866206,0.041579226187381586,False,1.06(71),,,,,,,,,,-28(15),7.7(7.5),6.6(6.9),,71(25),104(79),15(11),-37(27),-58(40),13.6(6.0),,0.0002758258870919919,0.002530094533464752,0.00013119948462978612,0.005557731122698514
21,poly_FKFK_n3lo_a4_a6,1.1931(62),-0.00417(71),50.02670934767568,2.254261565129456,0.0017408303228709742,False,1.42(62),,,,,,,,,,-22(12),6.9(8.0),-2.7(7.2),,55(67),93(88),-5(29),-36(39),-43(61),54(20),1935(7239),0.0021676558516367985,0.0023293870789929893,0.0012993111688125035,0.005129163160422475
22,poly_FKFpi_n3lo_a4_a6,1.1992(67),-0.00434(72),51.930181046122996,1.8932336610342388,0.012318325654799706,False,1.22(66),,,,,,,,,,-26(14),8.1(7.8),3.1(7.3),,73(65),104(85),3(16),-43(32),-55(52),32(11),-184(6936),0.0026971327848550365,0.0027199546709745764,0.0005714593157265641,0.0054846280548406425
23,poly_FpiFpi_n3lo_a4_a6,1.2032(80),-0.00445(73),52.22555381115865,1.639188017533303,0.04254178393896134,False,1.06(71),,,,,,,,,,-29(16),7.8(7.5),7.0(7.0),,89(67),105(79),16(11),-37(27),-60(41),13.7(6.0),-2058(6857),0.0035542731824817863,0.003362958083825402,0.0001186164409419866,0.006280512922880396
