,name,A_x,L_4,L_5,L_1,L_2,L_3,L_6,L_7,L_8,L_9,A_a,A_k,A_p,A_loga,A_aa,A_ak,A_ap,A_kk,A_kp,A_pp,A_aaa
0,poly_FKFK_nlo,0(12),,,,,,,,,,0(13),,,,,,,,,,
1,poly_FKFpi_nlo,0(10),,,,,,,,,,0(17),,,,,,,,,,
2,poly_FpiFpi_nlo,0.0(9.1),,,,,,,,,,0(18),,,,,,,,,,
3,poly_FKFK_nlo_a4,0(12),,,,,,,,,,0(33),,,,0(1010),,,,,,
4,poly_FKFpi_nlo_a4,0.0(9.8),,,,,,,,,,0(16),,,,0(1110),,,,,,
5,poly_FpiFpi_nlo_a4,0.0(9.4),,,,,,,,,,0(34),,,,0(978),,,,,,
6,poly_FKFK_nlo_a4_a6,0(12),,,,,,,,,,0(33),,,,0(997),,,,,,0(1060)
7,poly_FKFpi_nlo_a4_a6,0.0(9.8),,,,,,,,,,0(15),,,,0(1040),,,,,,0(1020)
8,poly_FpiFpi_nlo_a4_a6,0.0(9.4),,,,,,,,,,0(35),,,,0(977),,,,,,0(994)
9,poly_FKFK_n2lo,0(89),,,,,,,,,,0(111),0(500),0(500),,,,,,,,
10,poly_FKFpi_n2lo,0(52),,,,,,,,,,0(72),0(334),0(334),,,,,,,,
11,poly_FpiFpi_n2lo,0(37),,,,,,,,,,0(32),0(162),0(162),,,,,,,,
12,poly_FKFK_n2lo_a4,0(52),,,,,,,,,,0(86),0(319),0(319),,0(792),,,,,,
13,poly_FKFpi_n2lo_a4,0(53),,,,,,,,,,0(116),0(236),0(236),,0(911),,,,,,
14,poly_FpiFpi_n2lo_a4,0(34),,,,,,,,,,0(128),0(162),0(162),,0(931),,,,,,
15,poly_FKFK_n2lo_a4_a6,0(124),,,,,,,,,,0(66),0(272),0(272),,0(844),,,,,,0(762)
16,poly_FKFpi_n2lo_a4_a6,0(475),,,,,,,,,,0(140),0(249),0(249),,0(1160),,,,,,0(605)
17,poly_FpiFpi_n2lo_a4_a6,0(32),,,,,,,,,,0(179),0(227),0(227),,0(1400),,,,,,0(745)
18,poly_FKFK_n3lo_a4,0(402),,,,,,,,,,0(60),0(120),0(120),,0(736),0(389),0(389),0(389),0(389),0(389),
19,poly_FKFpi_n3lo_a4,0.00(46),,,,,,,,,,0(612),0(37),0(37),,0(993),0(183),0(183),0(183),0(183),0(183),
20,poly_FpiFpi_n3lo_a4,0(33),,,,,,,,,,0(151),0(148),0(148),,0(879),0(18),0(18),0(18),0(18),0(18),
21,poly_FKFK_n3lo_a4_a6,0(386),,,,,,,,,,0.0(7.7),0(612),0(612),,0(1020),0(344),0(344),0(344),0(344),0(344),0(870)
22,poly_FKFpi_n3lo_a4_a6,0(153),,,,,,,,,,0(57),0(397),0(397),,0(1060),0(237),0(237),0(237),0(237),0(237),0(875)
23,poly_FpiFpi_n3lo_a4_a6,0(55),,,,,,,,,,0(241),0.0(9.7),0.0(9.7),,0(745),0(251),0(251),0(251),0(251),0(251),0(1010)
