,name,FK/Fpi,delta_su2,logGBF,chi2/df,Q,vol,po:A_x,po:L_4,po:L_5,po:L_1,po:L_2,po:L_3,po:L_6,po:L_7,po:L_8,po:L_9,po:A_a,po:A_k,po:A_p,po:A_loga,po:A_aa,po:A_ak,po:A_ap,po:A_kk,po:A_kp,po:A_pp,po:A_aaa,eb:disc,eb:chiral,eb:pp_input,eb:stat
0,poly_FKFK_nlo,1.1534(17),-0.00306(66),-441.3915801295491,58.65319424390393,8.443932546930502e-213,False,1.2956(85),,,,,,,,,,-4.55(18),,,,,,,,,,,1.6622146221906028e-06,8.556500301221288e-06,0.0013968347832810678,0.001006468502026589
1,poly_FKFpi_nlo,1.1639(16),-0.00335(67),-274.64848743721956,40.63103137458778,1.2484392447969032e-143,False,1.1593(69),,,,,,,,,,-3.82(15),,,,,,,,,,,3.444138807700136e-05,5.580247106040161e-06,0.0012685343750953044,0.0009724458526364408
2,poly_FpiFpi_nlo,1.1748(24),-0.00366(68),-110.87570938330471,22.658457553537225,2.106519586893167e-75,False,1.0351(55),,,,,,,,,,-3.17(12),,,,,,,,,,,3.13088124123505e-05,5.084526822887702e-06,0.0021615512132500386,0.000926097769690052
3,poly_FKFK_nlo_a4,1.1455(21),-0.00284(66),-437.22355725739516,58.16135789671434,6.60328903351025e-211,False,1.228(14),,,,,,,,,,-0.20(81),,,,-54(10),,,,,,,0.0012290186635014967,1.98282197358765e-05,0.0013244781313534856,0.0011430026165808538
4,poly_FKFpi_nlo_a4,1.1570(22),-0.00316(66),-275.5766726015348,40.36442178539453,1.3050945755729435e-142,False,1.110(13),,,,,,,,,,-0.63(74),,,,-39.5(9.2),,,,,,,0.0012326801360590162,2.0826779493390106e-05,0.0012147415245451153,0.0013113963638904536
5,poly_FpiFpi_nlo_a4,1.1714(31),-0.00356(68),-114.47834493563343,22.558941479568766,4.981079269276588e-75,False,1.015(13),,,,,,,,,,-1.84(80),,,,-16.6(9.9),,,,,,,0.0008532745203839513,2.1137835806151734e-05,0.002118828739499836,0.0020662224072484974
6,poly_FKFK_nlo_a4_a6,1.1455(21),-0.00284(66),-437.14563505793166,58.154874548355764,6.993826968397552e-211,False,1.228(14),,,,,,,,,,-0.24(82),,,,-52(12),,,,,,-339(992),0.0012271281748913786,1.98300310192275e-05,0.0013244263357035171,0.0011451444088374245
7,poly_FKFpi_nlo_a4_a6,1.1570(22),-0.00316(66),-275.5840915877752,40.36311302574335,1.3202164226406832e-142,False,1.110(13),,,,,,,,,,-0.65(76),,,,-39(11),,,,,,-152(991),0.001244662213870561,2.085363112458511e-05,0.0012148164437289753,0.0013016356595482374
8,poly_FpiFpi_nlo_a4_a6,1.1715(31),-0.00356(68),-114.40260958547005,22.58149057931265,4.0986460073465335e-75,False,1.015(14),,,,,,,,,,-1.90(86),,,,-15(13),,,,,,-138(1003),0.0010043713485258278,3.129767848005512e-05,0.002120363840936789,0.0020678479216331373
9,poly_FKFK_n2lo,1.1742(34),-0.00364(68),45.49075249156803,3.9650582707262174,2.6453464237059863e-08,False,0.00008(1000),,,,,,,,,,-5.99(20),12.13(12),-8.51(18),,,,,,,,,1.913044816898838e-06,1.851095470447944e-05,0.003171048701406978,0.0012552803464793295
10,poly_FKFpi_n2lo,1.1831(29),-0.00389(69),56.75718373363834,3.0657497580108792,1.1982532187485307e-05,False,0.17(17),,,,,,,,,,-4.65(22),7.7(1.2),-4.17(22),,,,,,,,,1.94914959109303e-06,0.0003244782338130647,0.002643675687891069,0.001132396090734044
11,poly_FpiFpi_n2lo,1.1881(35),-0.00403(69),62.04548913497193,2.7580415399551916,8.540480604798993e-05,False,0.65(14),,,,,,,,,,-3.36(14),2.65(80),-1.543(76),,,,,,,,,1.5150450488673798e-06,0.0003137498980948937,0.0032920689029219,0.0012094990660970592
12,poly_FKFK_n2lo_a4,1.1825(38),-0.00387(69),44.75367451969042,3.928565525200168,3.420327464033315e-08,False,1.50(38),,,,,,,,,,-8.8(1.5),0.7(2.9),-5.01(90),,57(21),,,,,,,0.0005363128253851547,0.0013085887312273142,0.001713966511741569,0.0030593215805175705
13,poly_FKFpi_n2lo_a4,1.1863(36),-0.00398(69),55.39989888344141,2.96968473827724,2.2310530295774874e-05,False,0.84(34),,,,,,,,,,-6.2(1.3),3.4(2.2),-3.53(34),,27(18),,,,,,,0.0006529101489638802,0.000771477694091475,0.001968654123235964,0.002843734973835937
14,poly_FpiFpi_n2lo_a4,1.1927(38),-0.00416(70),61.70222221358283,2.5102338525941144,0.0003897676006743297,False,1.05(21),,,,,,,,,,-5.6(1.1),0.6(1.1),-1.625(91),,30(14),,,,,,,0.0005014492971182646,0.0005237834110193928,0.0025787988159712023,0.0026341360082219696
15,poly_FKFK_n2lo_a4_a6,1.1815(40),-0.00385(69),45.03559993798257,3.9109521666540217,3.8710208693400084e-08,False,1.30(43),,,,,,,,,,-8.5(1.5),2.2(3.3),-5.5(1.0),,49(23),,,,,,159(983),0.000699215414042759,0.001359677911370309,0.0019083722253642448,0.003168066548642545
16,poly_FKFpi_n2lo_a4_a6,1.1867(36),-0.00399(69),55.46847480989507,3.0126855515388247,1.6906768061916226e-05,False,0.92(31),,,,,,,,,,-6.4(1.3),2.9(2.0),-3.44(32),,29(20),,,,,,214(1117),0.0007658013602679843,0.0008348097764957443,0.0018784477729757879,0.0028061535215758906
17,poly_FpiFpi_n2lo_a4_a6,1.1928(37),-0.00416(70),61.43681947779889,2.505382903667529,0.00040126795774133206,False,1.10(19),,,,,,,,,,-5.6(1.1),0.4(1.0),-1.631(91),,31(16),,,,,,177(1015),0.0007584915894284492,0.000536752587889407,0.00247642689772828,0.002629647801666645
18,poly_FKFK_n3lo_a4,1.1920(50),-0.00414(70),52.948268372549855,2.3890683361596463,0.0007993911423286562,False,1.84(53),,,,,,,,,,-12.8(3.8),-0.9(5.4),-7.5(3.1),,78(25),14(27),7(12),-2(21),-4(24),37(10),,0.00015011560693091396,0.0018008824831245048,0.0014797155758503227,0.0044047654213985035
19,poly_FKFpi_n3lo_a4,1.1932(44),-0.00417(70),56.92389312293138,2.234085912922552,0.0019519150852896304,False,1.41(36),,,,,,,,,,-8.9(2.5),0.3(3.0),-4.0(1.7),,57(21),3(13),2.5(6.5),-1.1(9.8),-5(11),18.9(5.7),,0.00010166479364323008,0.0017546515077595324,0.0014177367336790931,0.003787699899349368
20,poly_FpiFpi_n3lo_a4,1.1941(42),-0.00420(70),62.78910907425815,2.2211032866308846,0.002100477786484148,False,1.14(18),,,,,,,,,,-5.9(1.7),0.2(1.1),-1.09(85),,38(16),-0.5(6.4),-1.7(4.0),0.4(4.1),-7.0(4.8),7.8(3.6),,0.0006529549075806945,0.0015418385970003036,0.0024189458725314434,0.00303472613125112
21,poly_FKFK_n3lo_a4_a6,1.1918(50),-0.00413(70),52.94648697591403,2.401193562038792,0.0007445207431555329,False,1.84(54),,,,,,,,,,-12.5(3.6),-1.0(5.4),-7.9(3.0),,77(26),13(25),7(12),-1(20),-2(23),36.3(9.9),65(1005),0.00041245336601050735,0.0018193203880463114,0.0015004483416262214,0.004367722285172426
22,poly_FKFpi_n3lo_a4_a6,1.1925(43),-0.00415(70),58.595280687320574,2.2936096205045153,0.0013904096919439975,False,1.41(36),,,,,,,,,,-8.4(2.2),0.04(2.84),-4.2(1.5),,54(22),1(11),2.0(6.1),0.02(8.79),-3.4(9.9),17.4(5.4),95(1012),0.000754111533520696,0.0017239919529793164,0.001439762202475975,0.003593579770744228
23,poly_FpiFpi_n3lo_a4_a6,1.1933(40),-0.00417(70),62.725351247578885,2.334227722598035,0.0011001815651996143,False,1.11(20),,,,,,,,,,-5.7(1.3),0.3(1.2),-1.63(68),,33(17),-0.09(3.85),-1.4(3.0),0.3(3.2),-2.5(3.5),5.0(2.9),147(1034),0.0008422439827761655,0.0013771455108652344,0.002476401757767057,0.0027410964731576404
