,name,FK/Fpi,delta_su2,logGBF,chi2/df,Q,vol,po:A_x,po:L_4,po:L_5,po:L_1,po:L_2,po:L_3,po:L_6,po:L_7,po:L_8,po:L_9,po:A_a,po:A_k,po:A_p,po:A_loga,po:A_aa,po:A_ak,po:A_ap,po:A_kk,po:A_kp,po:A_pp,po:A_aaa,eb:disc,eb:chiral,eb:pp_input,eb:stat
0,poly_FKFK_nlo,1.403(13),-0.0101(10),-20675.50132666865,2305.521954621976,0.0,False,11.849(21),,,,,,,,,,-12.93(44),,,,,,,,,,,7.786195569214057e-05,4.314339425582216e-06,0.012774974276955876,0.002474510976386625
1,poly_FKFpi_nlo,1.473(12),-0.0120(11),-38243.862840768685,4257.772636399098,0.0,False,10.414(17),,,,,,,,,,-16.53(35),,,,,,,,,,,4.505733312006793e-05,3.874831540394432e-06,0.011394558224008805,0.002339782263409565
2,poly_FpiFpi_nlo,1.533(19),-0.0137(13),-36875.716019866515,4105.428157876594,0.0,False,9.075(16),,,,,,,,,,-18.22(33),,,,,,,,,,,4.531110032209584e-05,4.604636799702847e-06,0.01895076124339952,0.00265872887541333
3,poly_FKFK_nlo_a4,1.442(14),-0.0111(11),-20657.081856746063,2302.999629483903,0.0,False,12.175(51),,,,,,,,,,-32.9(2.9),,,,245(35),,,,,,,0.0005454745454596963,2.596086978669569e-05,0.013126652500697429,0.006048276929056009
4,poly_FKFpi_nlo_a4,1.394(12),-0.0098(10),-38152.678468327824,4247.228202229713,0.0,False,9.859(41),,,,,,,,,,15.7(2.2),,,,-390(26),,,,,,,0.0007777171408443811,2.429294914264197e-05,0.01078745435745758,0.005748625885040442
5,poly_FpiFpi_nlo_a4,1.580(21),-0.0150(14),-36856.40958408486,4102.804086014915,0.0,False,9.353(41),,,,,,,,,,-34.4(2.2),,,,194(26),,,,,,,0.0004650856449545049,3.00549933572462e-05,0.01952983834387054,0.006888286849844563
6,poly_FKFK_nlo_a4_a6,1.442(14),-0.0111(11),-20657.062548796654,2302.998796271355,0.0,False,12.175(51),,,,,,,,,,-32.8(2.9),,,,244(36),,,,,,136(1059),0.0007542345448033973,2.614475510202884e-05,0.013126116964228976,0.0060474483766572214
7,poly_FKFpi_nlo_a4_a6,1.395(12),-0.0098(10),-38151.63063708627,4247.125842691158,0.0,False,9.865(41),,,,,,,,,,15.2(2.2),,,,-376(28),,,,,,-1442(1018),0.0010638551123939009,2.453273366756032e-05,0.010793942359371488,0.005731698709951462
8,poly_FpiFpi_nlo_a4_a6,1.580(21),-0.0150(14),-36856.21949603629,4102.77974832951,0.0,False,9.355(41),,,,,,,,,,-34.6(2.2),,,,200(28),,,,,,-614(993),0.0009292172879078775,3.0468642870646288e-05,0.01953492567482832,0.0068890116665298465
9,poly_FKFK_n2lo,1.22(18),-0.0048(50),-113.97357597569851,15.373734972058315,2.869225300245294e-48,False,-141(35),,,,,,,,,,-208(44),1207(283),-307(87),,,,,,,,,0.00474850734664524,0.005636188334300815,0.17410607367989628,0.03678470511980431
