,name,FK/Fpi,delta_su2,logGBF,chi2/df,Q,vol,L_4,L_5,L_1,L_2,L_3,L_6,L_7,L_8,L_9,A_a,A_k,A_p,A_loga,A_aa
0,ma_FKFK_nnlo_log_logSq_sunset_bijnens,1.1797(30),-0.00380(68),50.69306799184051,1.9332305893591544,0.01172414849548725,0,-0.0016(15),-0.00118(61),0.00029(14),0.00032(16),-0.0033(15),-0.00006(10),-0.00034(17),0.00020(10),,-0.44(55),0.4(4.8),-4.8(3.2),,
1,ma_FKFK_nnlo_log_logSq_sunset_a4_bijnens,1.1836(51),-0.00390(70),43.75201822128233,1.8814156725825173,0.015116705910513034,0,-0.0016(16),-0.00097(65),0.00029(14),0.00033(16),-0.0032(15),-0.00006(10),-0.00033(17),0.00020(10),,-2.4(2.1),0.5(4.8),-4.3(3.2),,25(27)
2,ma_FKFK_nnlo_log_logSq_sunset,1.1801(30),-0.00381(68),50.55053071153475,1.9630013772758328,0.010111250004695664,0,-0.0021(21),-0.00083(92),-6(288)e-06,-0.00002(33),-0.0014(27),7(1000)e-07,6(336)e-06,2(201)e-06,,-0.37(56),0.7(4.8),-3.4(3.3),,
3,ma_FKFK_nnlo_log_logSq_sunset_a4,1.1849(52),-0.00394(70),43.96327913953861,1.889052251091757,0.014565038452266909,0,-0.0023(25),-0.0004(10),-1(288)e-06,-1(325)e-06,-0.0008(27),5(1000)e-07,0.00005(34),0.00001(20),,-2.7(2.1),0.9(4.7),-2.5(3.0),,31(27)
4,ma_FKFK_nnlo_logSq_sunset,1.1784(24),-0.00376(68),51.43863754254634,2.010238281808452,0.007972205628831552,0,-0.0023(27),-0.00053(77),,,,,,,,0.05(65),1.3(4.5),-2.5(3.3),,
5,ma_FKFK_nnlo_logSq_sunset_a4,1.1928(62),-0.00416(71),46.664556200269715,1.7531559411998603,0.02779635751543389,0,0.0017(28),0.0021(10),,,,,,,,-5.3(2.4),-0.9(4.5),4.1(3.2),,87(33)
6,ma_FKFK_nnlo,1.1799(23),-0.00380(68),52.638413679077004,1.8764673630083817,0.015484464444974694,0,-0.0022(27),-0.00005(77),,,,,,,,0.14(65),1.2(4.5),-1.2(3.2),,
7,ma_FKFK_nnlo_a4,1.1950(62),-0.00422(71),48.52256924768282,1.5344950045473005,0.07290046517723958,0,0.0013(28),0.0023(10),,,,,,,,-5.6(2.4),-0.7(4.5),4.3(3.2),,89(33)
8,ma_FKFK_nnlo_log_logSq_sunset_alphaS_bijnens,1.187(15),-0.00400(80),47.911466029024275,1.918729051926855,0.012594072656456708,0,-0.0017(16),-0.00108(64),0.00029(14),0.00033(16),-0.0033(15),-0.00006(10),-0.00033(17),0.00020(10),,-9(17),0.5(4.8),-4.8(3.2),13(26),
9,ma_FKFK_nnlo_log_logSq_sunset_alphaS_a4_bijnens,1.173(20),-0.00362(88),41.53001880709725,1.8658989096153915,0.016297872648553258,0,-0.0014(16),-0.00098(65),0.00029(14),0.00033(16),-0.0032(15),-0.00006(10),-0.00033(17),0.00020(10),,12(28),0.4(4.8),-3.8(3.3),-24(46),46(48)
10,ma_FKFK_nnlo_log_logSq_sunset_alphaS,1.189(15),-0.00407(81),47.908169629957456,1.9399664458117656,0.01133945655081347,0,-0.0023(24),-0.00064(97),-4(288)e-06,-0.00001(33),-0.0011(27),7(1000)e-07,0.00003(34),6(201)e-06,,-11(18),0.8(4.8),-3.3(3.1),17(27),
