,name,FK/Fpi,delta_su2,logGBF,chi2/df,Q,vol,L_4,L_5,L_1,L_2,L_3,L_6,L_7,L_8,L_9,A_a,A_k,A_p,A_loga,A_aa
0,ma_FKFK_nnlo_log_logSq_sunset_a4_bijnens,1.1836(51),-0.00390(70),43.75201822128233,1.8814156725825173,0.015116705910513034,0,-0.0016(16),-0.00097(65),0.00029(14),0.00033(16),-0.0032(15),-0.00006(10),-0.00033(17),0.00020(10),,-2.4(2.1),0.5(4.8),-4.3(3.2),,25(27)
1,ma_FKFK_nnlo_log_logSq_sunset_a4,1.1849(52),-0.00394(70),43.96327913953861,1.889052251091757,0.014565038452266909,0,-0.0023(25),-0.0004(10),-1(288)e-06,-1(325)e-06,-0.0008(27),5(1000)e-07,0.00005(34),0.00001(20),,-2.7(2.1),0.9(4.7),-2.5(3.0),,31(27)
2,ma_FKFK_nnlo_logSq_sunset_a4,1.1928(62),-0.00416(71),46.664556200269715,1.7531559411998603,0.02779635751543389,0,0.0017(28),0.0021(10),,,,,,,,-5.3(2.4),-0.9(4.5),4.1(3.2),,87(33)
3,ma_FKFK_nnlo_a4,1.1950(62),-0.00422(71),48.52256924768282,1.5344950045473005,0.07290046517723958,0,0.0013(28),0.0023(10),,,,,,,,-5.6(2.4),-0.7(4.5),4.3(3.2),,89(33)
4,ma_FKFK_nnlo_log_logSq_sunset_alphaS_a4_bijnens,1.173(20),-0.00362(88),41.53001880709725,1.8658989096153915,0.016297872648553258,0,-0.0014(16),-0.00098(65),0.00029(14),0.00033(16),-0.0032(15),-0.00006(10),-0.00033(17),0.00020(10),,12(28),0.4(4.8),-3.8(3.3),-24(46),46(48)
5,ma_FKFK_nnlo_log_logSq_sunset_alphaS_a4,1.174(20),-0.00365(88),41.754336614333354,1.8727055337069336,0.01576957932574364,0,-0.0022(25),-0.0004(10),-1(288)e-06,-1(325)e-06,-0.0007(27),4(1000)e-07,0.00005(34),10(201)e-06,,12(28),0.9(4.7),-2.0(3.1),-25(46),52(48)
6,ma_FKFK_nnlo_logSq_sunset_alphaS_a4,1.195(22),-0.00421(93),44.30079101195616,1.7527674144446594,0.027846420584354745,0,0.0017(28),0.0021(11),,,,,,,,-8(29),-0.9(4.5),4.1(3.2),4(47),85(47)
7,ma_FKFK_nnlo_alphaS_a4,1.196(22),-0.00425(93),46.15590235334109,1.5343999902953511,0.07292936386410097,0,0.0013(28),0.0023(11),,,,,,,,-7(29),-0.7(4.5),4.3(3.2),2(47),88(47)
8,ma_FKFK_nnlo_log_logSq_sunset_a4_FV_bijnens,1.1831(53),-0.00389(70),46.154889449744566,1.5533715113617834,0.06735250696110104,10,-0.0018(14),-0.00136(64),0.00029(14),0.00033(16),-0.0032(15),-0.00006(10),-0.00033(17),0.00020(10),,-2.2(2.2),0.5(4.9),-5.9(3.4),,16(27)
9,ma_FKFK_nnlo_log_logSq_sunset_a4_FV,1.1843(54),-0.00392(70),46.275548913428594,1.5655004623702409,0.06398497327783934,10,-0.0025(22),-0.00085(97),-2(288)e-06,-3(325)e-06,-0.0009(28),8(1000)e-07,0.00005(34),0.00001(20),,-2.5(2.2),0.8(4.8),-3.9(3.4),,21(28)
10,ma_FKFK_nnlo_logSq_sunset_a4_FV,1.1926(63),-0.00416(71),48.071430777501384,1.5800318287419244,0.0601450291749907,10,0.0018(28),0.0021(10),,,,,,,,-5.4(2.4),-0.9(4.5),4.2(3.2),,87(33)
11,ma_FKFK_nnlo_a4_FV,1.1950(63),-0.00422(71),50.693169661198006,1.271386328379367,0.20004055718976754,10,0.0014(28),0.0024(10),,,,,,,,-5.8(2.4),-0.8(4.5),4.5(3.2),,89(33)
12,ma_FKFK_nnlo_log_logSq_sunset_alphaS_a4_FV_bijnens,1.173(21),-0.00361(89),43.94034736630943,1.5390471620805046,0.0715274939516834,10,-0.0017(14),-0.00138(64),0.00029(14),0.00033(16),-0.0032(15),-0.00006(10),-0.00033(17),0.00020(10),,12(28),0.4(4.9),-5.4(3.5),-23(47),36(48)
13,ma_FKFK_nnlo_log_logSq_sunset_alphaS_a4_FV,1.174(21),-0.00364(89),44.069762346342436,1.5504669769338753,0.06818149562709144,10,-0.0024(22),-0.00085(98),-1(288)e-06,-3(325)e-06,-0.0008(28),8(1000)e-07,0.00005(34),0.00001(20),,12(28),0.7(4.8),-3.4(3.5),-24(47),42(48)
14,ma_FKFK_nnlo_logSq_sunset_alphaS_a4_FV,1.198(22),-0.00431(93),45.724231766611176,1.5773256647651193,0.06084443315661326,10,0.0019(28),0.0023(11),,,,,,,,-12(29),-1.0(4.5),4.4(3.2),11(47),81(47)
15,ma_FKFK_nnlo_alphaS_a4_FV,1.199(22),-0.00434(93),48.33920564528096,1.2695253745092672,0.2013359684157925,10,0.0015(28),0.0024(11),,,,,,,,-11(29),-0.8(4.5),4.5(3.2),9(47),84(47)
16,ma_FKFpi_nnlo_log_logSq_sunset_a4_bijnens,1.1919(49),-0.00414(70),45.737507440540675,1.6237397597865464,0.04978884096791323,0,-0.00003(155),0.00027(62),0.00024(12),0.00022(11),-0.0031(15),-0.00010(10),-0.00033(17),0.00014(10),,-2.8(1.9),-0.0003 +- 4.8,2.0(2.5),,48(24)
17,ma_FKFpi_nnlo_log_logSq_sunset_a4,1.1936(52),-0.00418(71),46.00326004824294,1.6219069730721376,0.050189114038215216,0,-0.0002(23),0.0010(10),1(236)e-06,3(221)e-06,-0.0002(28),-1(1000)e-07,0.00003(34),2(143)e-06,,-3.3(2.0),0.09(4.57),2.3(2.5),,55(25)
18,ma_FKFpi_nnlo_logSq_sunset_a4,1.2010(63),-0.00439(72),47.70704663443019,1.4091467821031938,0.1206492493321509,0,0.0005(15),0.00219(92),,,,,,,,-5.7(2.4),-0.2(4.8),8.1(3.4),,91(33)
19,ma_FKFpi_nnlo_a4,1.2036(64),-0.00447(72),47.31028963895094,1.4536319611619075,0.10135016932790374,0,0.0004(15),0.00260(94),,,,,,,,-6.2(2.4),-0.1(4.8),9.0(3.4),,96(33)
20,ma_FKFpi_nnlo_log_logSq_sunset_alphaS_a4_bijnens,1.188(21),-0.00403(91),43.21754367363585,1.6216738706292555,0.05024022684728163,0,-6(1549)e-06,0.00025(63),0.00024(12),0.00022(11),-0.0031(15),-0.00010(10),-0.00033(17),0.00014(10),,2(24),-0.009(4.794),2.1(2.5),-8(40),54(41)
21,ma_FKFpi_nnlo_log_logSq_sunset_alphaS_a4,1.190(22),-0.00409(92),43.4834576608139,1.6202884359603589,0.05054496796790415,0,-0.0002(23),0.0010(10),1(236)e-06,2(221)e-06,-0.0003(29),-1(1000)e-07,0.00003(34),2(143)e-06,,0.7(24.3),0.07(4.58),2.4(2.6),-7(41),61(42)
22,ma_FKFpi_nnlo_logSq_sunset_alphaS_a4,1.205(24),-0.00451(97),45.27420048298495,1.407197956006652,0.12155976262216207,0,0.0004(15),0.00224(97),,,,,,,,-10(26),-0.2(4.8),8.2(3.4),8(43),85(45)
23,ma_FKFpi_nnlo_alphaS_a4,1.207(24),-0.00455(98),44.87149498204028,1.4527138450126449,0.1017206383910491,0,0.0004(15),0.00263(98),,,,,,,,-9(26),-0.1(4.8),9.0(3.4),5(43),92(46)
24,ma_FKFpi_nnlo_log_logSq_sunset_a4_FV_bijnens,1.1913(49),-0.00412(70),48.92608185006057,1.243424687705559,0.22016862611414306,10,-0.0005(13),-0.00010(62),0.00024(12),0.00022(11),-0.0031(15),-0.00010(10),-0.00033(17),0.00014(10),,-2.4(1.9),0.1(4.8),1.5(2.6),,37(24)
25,ma_FKFpi_nnlo_log_logSq_sunset_a4_FV,1.1928(51),-0.00416(70),49.14189067403592,1.2437630237706547,0.21991652557314115,10,-0.0009(19),0.0006(10),1(236)e-06,4(221)e-06,-0.0002(28),-3(1000)e-07,0.00002(34),2(143)e-06,,-2.9(1.9),0.3(4.7),2.3(2.5),,44(25)
26,ma_FKFpi_nnlo_logSq_sunset_a4_FV,1.1992(62),-0.00434(72),51.32652539739063,0.9963622872747334,0.4585634624979675,10,0.0002(14),0.00180(92),,,,,,,,-5.2(2.4),-0.08(4.83),7.1(3.4),,80(33)
27,ma_FKFpi_nnlo_a4_FV,1.2019(63),-0.00442(72),51.57654395585162,0.9642105103927504,0.4962647609418282,10,0.0001(15),0.00222(93),,,,,,,,-5.7(2.4),-0.07(4.83),8.0(3.4),,86(33)
28,ma_FKFpi_nnlo_log_logSq_sunset_alphaS_a4_FV_bijnens,1.188(21),-0.00402(90),46.39337556097446,1.2417506869937691,0.22141905512698226,10,-0.0005(13),-0.00011(62),0.00024(12),0.00022(11),-0.0031(15),-0.00010(10),-0.00033(17),0.00014(10),,2(24),0.1(4.8),1.6(2.6),-7(40),42(41)
29,ma_FKFpi_nnlo_log_logSq_sunset_alphaS_a4_FV,1.190(21),-0.00408(91),46.61015548600611,1.2424304961342718,0.2209106357678444,10,-0.0009(19),0.0006(10),1(236)e-06,3(221)e-06,-0.0002(28),-3(1000)e-07,0.00002(34),2(143)e-06,,0.7(24.0),0.3(4.7),2.3(2.5),-6(40),49(41)
30,ma_FKFpi_nnlo_logSq_sunset_alphaS_a4_FV,1.206(24),-0.00452(97),48.898327004429035,0.9918391820925456,0.4638031215575305,10,0.0002(15),0.00188(96),,,,,,,,-12(26),-0.08(4.83),7.1(3.4),12(43),71(45)
31,ma_FKFpi_nnlo_alphaS_a4_FV,1.207(24),-0.00457(97),49.14460534016226,0.9606956223693686,0.5004452281153868,10,0.0001(15),0.00229(98),,,,,,,,-12(26),-0.07(4.83),8.0(3.4),10(43),78(45)
32,ma_FpiFpi_nnlo_log_logSq_sunset_a4_bijnens,1.1956(54),-0.00424(71),45.238295129061534,1.6258015956614034,0.049341934763063776,0,0.0008(26),0.00007(59),0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00033(17),0.00020(10),,-2.7(1.8),-0.5(4.4),2.6(2.3),,50(23)
